municipality_bfs_id,municipality_name_source,year,month,date,hotel_establishments_open_source_token,hotel_establishments_open,hotel_rooms_available_source_token,hotel_rooms_available,hotel_beds_available_source_token,hotel_beds_available,hotel_arrivals_capacity_table_source_token,hotel_arrivals_capacity_table,hotel_overnights_capacity_table_source_token,hotel_overnights_capacity_table,hotel_room_nights_source_token,hotel_room_nights,hotel_room_occupancy_rate_pct_source_token,hotel_room_occupancy_rate_pct,hotel_bed_occupancy_rate_pct_source_token,hotel_bed_occupancy_rate_pct,complete_capacity_supply,source_id
62,Kloten,2013,1,2013-01-01,4,4,602,602,906,906,12826,12826,16822,16822,13131,13131,70,70.0,60,60.0,True,BFS_HOTEL_CAPACITY_DATA
62,Kloten,2013,2,2013-02-01,4,4,602,602,906,906,12311,12311,16823,16823,13064,13064,78,78.0,66,66.0,True,BFS_HOTEL_CAPACITY_DATA
62,Kloten,2013,3,2013-03-01,4,4,602,602,906,906,14346,14346,18973,18973,14357,14357,77,77.0,68,68.0,True,BFS_HOTEL_CAPACITY_DATA
62,Kloten,2013,4,2013-04-01,4,4,602,602,906,906,12914,12914,17878,17878,13806,13806,76,76.0,66,66.0,True,BFS_HOTEL_CAPACITY_DATA
62,Kloten,2013,5,2013-05-01,4,4,602,602,906,906,15290,15290,20560,20560,15129,15129,81,81.0,73,73.0,True,BFS_HOTEL_CAPACITY_DATA
62,Kloten,2013,6,2013-06-01,4,4,602,602,906,906,17303,17303,23020,23020,16956,16956,94,94.0,85,85.0,True,BFS_HOTEL_CAPACITY_DATA
62,Kloten,2013,7,2013-07-01,4,4,602,602,906,906,18899,18899,23885,23885,16563,16563,89,89.0,85,85.0,True,BFS_HOTEL_CAPACITY_DATA
62,Kloten,2013,8,2013-08-01,4,4,602,602,906,906,18623,18623,24438,24438,15766,15766,84,84.0,87,87.0,True,BFS_HOTEL_CAPACITY_DATA
62,Kloten,2013,9,2013-09-01,4,4,602,602,906,906,15511,15511,21383,21383,16058,16058,89,89.0,79,79.0,True,BFS_HOTEL_CAPACITY_DATA
62,Kloten,2013,10,2013-10-01,4,4,602,602,906,906,14250,14250,20045,20045,15687,15687,84,84.0,71,71.0,True,BFS_HOTEL_CAPACITY_DATA
62,Kloten,2013,11,2013-11-01,4,4,602,602,906,906,12117,12117,16684,16684,13860,13860,77,77.0,61,61.0,True,BFS_HOTEL_CAPACITY_DATA
62,Kloten,2013,12,2013-12-01,4,4,602,602,906,906,13439,13439,17487,17487,12728,12728,70,70.0,64,64.0,True,BFS_HOTEL_CAPACITY_DATA
