municipality_name_source,year,month,date,hotel_overnights_source_token,hotel_overnights,hotel_arrivals_source_token,hotel_arrivals,domestic_overnights_source_token,domestic_overnights,foreign_overnights,log_overnights,source_id
Kloten,2013,1,2013-01-01,16822,16822,12826,12826,5090,5090,11732,9.730502276719161,BFS_HOTEL_DATA
Kloten,2013,2,2013-02-01,16823,16823,12311,12311,5069,5069,11754,9.730561717382535,BFS_HOTEL_DATA
Kloten,2013,3,2013-03-01,18973,18973,14346,14346,5479,5479,13494,9.850824899952823,BFS_HOTEL_DATA
Kloten,2013,4,2013-04-01,17878,17878,12914,12914,4917,4917,12961,9.79138211875182,BFS_HOTEL_DATA
Kloten,2013,5,2013-05-01,20560,20560,15290,15290,6130,6130,14430,9.931151356518601,BFS_HOTEL_DATA
Kloten,2013,6,2013-06-01,23020,23020,17303,17303,6694,6694,16326,10.044162121818896,BFS_HOTEL_DATA
Kloten,2013,7,2013-07-01,23885,23885,18899,18899,6860,6860,17025,10.081047792228372,BFS_HOTEL_DATA
Kloten,2013,8,2013-08-01,24438,24438,18623,18623,6469,6469,17969,10.103935495918149,BFS_HOTEL_DATA
Kloten,2013,9,2013-09-01,21383,21383,15511,15511,6653,6653,14730,9.970398257818754,BFS_HOTEL_DATA
Kloten,2013,10,2013-10-01,20045,20045,14250,14250,6496,6496,13549,9.905784911584812,BFS_HOTEL_DATA
Kloten,2013,11,2013-11-01,16684,16684,12117,12117,5525,5525,11159,9.722265391185474,BFS_HOTEL_DATA
Kloten,2013,12,2013-12-01,17487,17487,13439,13439,5550,5550,11937,9.76927021041632,BFS_HOTEL_DATA
Kloten,2014,1,2014-01-01,17261,17261,13031,13031,5077,5077,12184,9.756262832779603,BFS_HOTEL_DATA
Kloten,2014,2,2014-02-01,16731,16731,12463,12463,4476,4476,12255,9.72507833256209,BFS_HOTEL_DATA
Kloten,2014,3,2014-03-01,18539,18539,13898,13898,5107,5107,13432,9.827685839119846,BFS_HOTEL_DATA
Kloten,2014,4,2014-04-01,16641,16641,12365,12365,5058,5058,11583,9.719684899460376,BFS_HOTEL_DATA
Kloten,2014,5,2014-05-01,20678,20678,15526,15526,6715,6715,13963,9.936873971553762,BFS_HOTEL_DATA
Kloten,2014,6,2014-06-01,22307,22307,16615,16615,7251,7251,15056,10.012700637509445,BFS_HOTEL_DATA
Kloten,2014,7,2014-07-01,26092,26092,20511,20511,8962,8962,17130,10.169422358105223,BFS_HOTEL_DATA
Kloten,2014,8,2014-08-01,25713,25713,18696,18696,8409,8409,17304,10.154790869644193,BFS_HOTEL_DATA
Kloten,2014,9,2014-09-01,22089,22089,16163,16163,7668,7668,14421,10.002880296414164,BFS_HOTEL_DATA
Kloten,2014,10,2014-10-01,20703,20703,15201,15201,7418,7418,13285,9.938082197300627,BFS_HOTEL_DATA
Kloten,2014,11,2014-11-01,16742,16742,12441,12441,5802,5802,10940,9.725735539456544,BFS_HOTEL_DATA
Kloten,2014,12,2014-12-01,18010,18010,14154,14154,6369,6369,11641,9.798737961337057,BFS_HOTEL_DATA
