municipality_name_source,year,month,date,hotel_overnights_source_token,hotel_overnights,hotel_arrivals_source_token,hotel_arrivals,domestic_overnights_source_token,domestic_overnights,foreign_overnights,log_overnights,source_id,municipality_bfs_id,hotel_establishments_open_source_token,hotel_establishments_open,hotel_rooms_available_source_token,hotel_rooms_available,hotel_beds_available_source_token,hotel_beds_available,hotel_arrivals_capacity_table_source_token,hotel_arrivals_capacity_table,hotel_overnights_capacity_table_source_token,hotel_overnights_capacity_table,hotel_room_nights_source_token,hotel_room_nights,hotel_room_occupancy_rate_pct_source_token,hotel_room_occupancy_rate_pct,hotel_bed_occupancy_rate_pct_source_token,hotel_bed_occupancy_rate_pct,complete_capacity_supply,source_id_capacity,hotel_overnights_per_available_bed_month,capacity_source_id
Kloten,2013,1,2013-01-01,16822,16822.0,12826,12826.0,5090,5090.0,11732.0,9.73050227671916,BFS_HOTEL_DATA,62,4,4,602,602,906,906,12826,12826,16822,16822,13131,13131,70,70.0,60,60.0,True,BFS_HOTEL_CAPACITY_DATA,18.567328918322296,BFS_HOTEL_CAPACITY_DATA
Kloten,2013,2,2013-02-01,16823,16823.0,12311,12311.0,5069,5069.0,11754.0,9.730561717382535,BFS_HOTEL_DATA,62,4,4,602,602,906,906,12311,12311,16823,16823,13064,13064,78,78.0,66,66.0,True,BFS_HOTEL_CAPACITY_DATA,18.568432671081677,BFS_HOTEL_CAPACITY_DATA
Kloten,2013,3,2013-03-01,18973,18973.0,14346,14346.0,5479,5479.0,13494.0,9.850824899952825,BFS_HOTEL_DATA,62,4,4,602,602,906,906,14346,14346,18973,18973,14357,14357,77,77.0,68,68.0,True,BFS_HOTEL_CAPACITY_DATA,20.94150110375276,BFS_HOTEL_CAPACITY_DATA
Kloten,2013,4,2013-04-01,17878,17878.0,12914,12914.0,4917,4917.0,12961.0,9.79138211875182,BFS_HOTEL_DATA,62,4,4,602,602,906,906,12914,12914,17878,17878,13806,13806,76,76.0,66,66.0,True,BFS_HOTEL_CAPACITY_DATA,19.73289183222958,BFS_HOTEL_CAPACITY_DATA
Kloten,2013,5,2013-05-01,20560,20560.0,15290,15290.0,6130,6130.0,14430.0,9.9311513565186,BFS_HOTEL_DATA,62,4,4,602,602,906,906,15290,15290,20560,20560,15129,15129,81,81.0,73,73.0,True,BFS_HOTEL_CAPACITY_DATA,22.693156732891833,BFS_HOTEL_CAPACITY_DATA
Kloten,2013,6,2013-06-01,23020,23020.0,17303,17303.0,6694,6694.0,16326.0,10.044162121818896,BFS_HOTEL_DATA,62,4,4,602,602,906,906,17303,17303,23020,23020,16956,16956,94,94.0,85,85.0,True,BFS_HOTEL_CAPACITY_DATA,25.408388520971304,BFS_HOTEL_CAPACITY_DATA
Kloten,2013,7,2013-07-01,23885,23885.0,18899,18899.0,6860,6860.0,17025.0,10.081047792228372,BFS_HOTEL_DATA,62,4,4,602,602,906,906,18899,18899,23885,23885,16563,16563,89,89.0,85,85.0,True,BFS_HOTEL_CAPACITY_DATA,26.363134657836646,BFS_HOTEL_CAPACITY_DATA
Kloten,2013,8,2013-08-01,24438,24438.0,18623,18623.0,6469,6469.0,17969.0,10.103935495918147,BFS_HOTEL_DATA,62,4,4,602,602,906,906,18623,18623,24438,24438,15766,15766,84,84.0,87,87.0,True,BFS_HOTEL_CAPACITY_DATA,26.973509933774835,BFS_HOTEL_CAPACITY_DATA
Kloten,2013,9,2013-09-01,21383,21383.0,15511,15511.0,6653,6653.0,14730.0,9.970398257818754,BFS_HOTEL_DATA,62,4,4,602,602,906,906,15511,15511,21383,21383,16058,16058,89,89.0,79,79.0,True,BFS_HOTEL_CAPACITY_DATA,23.601545253863133,BFS_HOTEL_CAPACITY_DATA
Kloten,2013,10,2013-10-01,20045,20045.0,14250,14250.0,6496,6496.0,13549.0,9.905784911584812,BFS_HOTEL_DATA,62,4,4,602,602,906,906,14250,14250,20045,20045,15687,15687,84,84.0,71,71.0,True,BFS_HOTEL_CAPACITY_DATA,22.124724061810156,BFS_HOTEL_CAPACITY_DATA
Kloten,2013,11,2013-11-01,16684,16684.0,12117,12117.0,5525,5525.0,11159.0,9.722265391185474,BFS_HOTEL_DATA,62,4,4,602,602,906,906,12117,12117,16684,16684,13860,13860,77,77.0,61,61.0,True,BFS_HOTEL_CAPACITY_DATA,18.415011037527595,BFS_HOTEL_CAPACITY_DATA
Kloten,2013,12,2013-12-01,17487,17487.0,13439,13439.0,5550,5550.0,11937.0,9.76927021041632,BFS_HOTEL_DATA,62,4,4,602,602,906,906,13439,13439,17487,17487,12728,12728,70,70.0,64,64.0,True,BFS_HOTEL_CAPACITY_DATA,19.301324503311257,BFS_HOTEL_CAPACITY_DATA
Kloten,2014,1,2014-01-01,17261,17261.0,13031,13031.0,5077,5077.0,12184.0,9.756262832779605,BFS_HOTEL_DATA,62,4,4,602,602,906,906,13031,13031,17261,17261,13036,13036,70,70.0,61,61.0,True,BFS_HOTEL_CAPACITY_DATA,19.05187637969095,BFS_HOTEL_CAPACITY_DATA
Kloten,2014,2,2014-02-01,16731,16731.0,12463,12463.0,4476,4476.0,12255.0,9.72507833256209,BFS_HOTEL_DATA,62,4,4,602,602,906,906,12463,12463,16731,16731,13188,13188,78,78.0,66,66.0,True,BFS_HOTEL_CAPACITY_DATA,18.466887417218544,BFS_HOTEL_CAPACITY_DATA
Kloten,2014,3,2014-03-01,18539,18539.0,13898,13898.0,5107,5107.0,13432.0,9.827685839119846,BFS_HOTEL_DATA,62,4,4,602,602,906,906,13898,13898,18539,18539,14788,14788,79,79.0,66,66.0,True,BFS_HOTEL_CAPACITY_DATA,20.462472406181014,BFS_HOTEL_CAPACITY_DATA
Kloten,2014,4,2014-04-01,16641,16641.0,12365,12365.0,5058,5058.0,11583.0,9.719684899460376,BFS_HOTEL_DATA,62,4,4,602,602,906,906,12365,12365,16641,16641,12825,12825,71,71.0,61,61.0,True,BFS_HOTEL_CAPACITY_DATA,18.367549668874172,BFS_HOTEL_CAPACITY_DATA
Kloten,2014,5,2014-05-01,20678,20678.0,15526,15526.0,6715,6715.0,13963.0,9.936873971553762,BFS_HOTEL_DATA,62,4,4,602,602,906,906,15526,15526,20678,20678,15197,15197,81,81.0,74,74.0,True,BFS_HOTEL_CAPACITY_DATA,22.823399558498895,BFS_HOTEL_CAPACITY_DATA
Kloten,2014,6,2014-06-01,22307,22307.0,16615,16615.0,7251,7251.0,15056.0,10.012700637509443,BFS_HOTEL_DATA,62,4,4,602,602,906,906,16615,16615,22307,22307,16095,16095,89,89.0,82,82.0,True,BFS_HOTEL_CAPACITY_DATA,24.62141280353201,BFS_HOTEL_CAPACITY_DATA
Kloten,2014,7,2014-07-01,26092,26092.0,20511,20511.0,8962,8962.0,17130.0,10.169422358105225,BFS_HOTEL_DATA,62,4,4,602,602,906,906,20511,20511,26092,26092,17975,17975,96,96.0,93,93.0,True,BFS_HOTEL_CAPACITY_DATA,28.799116997792495,BFS_HOTEL_CAPACITY_DATA
Kloten,2014,8,2014-08-01,25713,25713.0,18696,18696.0,8409,8409.0,17304.0,10.154790869644192,BFS_HOTEL_DATA,62,4,4,602,602,906,906,18696,18696,25713,25713,16122,16122,86,86.0,92,92.0,True,BFS_HOTEL_CAPACITY_DATA,28.380794701986755,BFS_HOTEL_CAPACITY_DATA
Kloten,2014,9,2014-09-01,22089,22089.0,16163,16163.0,7668,7668.0,14421.0,10.002880296414164,BFS_HOTEL_DATA,62,4,4,602,602,906,906,16163,16163,22089,22089,16506,16506,91,91.0,81,81.0,True,BFS_HOTEL_CAPACITY_DATA,24.380794701986755,BFS_HOTEL_CAPACITY_DATA
Kloten,2014,10,2014-10-01,20703,20703.0,15201,15201.0,7418,7418.0,13285.0,9.938082197300629,BFS_HOTEL_DATA,62,4,4,602,602,906,906,15201,15201,20703,20703,15746,15746,84,84.0,74,74.0,True,BFS_HOTEL_CAPACITY_DATA,22.850993377483444,BFS_HOTEL_CAPACITY_DATA
Kloten,2014,11,2014-11-01,16742,16742.0,12441,12441.0,5802,5802.0,10940.0,9.725735539456544,BFS_HOTEL_DATA,62,4,4,602,602,906,906,12441,12441,16742,16742,13476,13476,75,75.0,62,62.0,True,BFS_HOTEL_CAPACITY_DATA,18.479028697571742,BFS_HOTEL_CAPACITY_DATA
Kloten,2014,12,2014-12-01,18010,18010.0,14154,14154.0,6369,6369.0,11641.0,9.798737961337055,BFS_HOTEL_DATA,62,4,4,602,602,906,906,14154,14154,18010,18010,13132,13132,70,70.0,64,64.0,True,BFS_HOTEL_CAPACITY_DATA,19.87858719646799,BFS_HOTEL_CAPACITY_DATA
Kloten,2015,1,2015-01-01,18254,18254.0,14218,14218.0,6058,6058.0,12196.0,9.812194294089736,BFS_HOTEL_DATA,62,4,4,602,602,906,906,14218,14218,18254,18254,14033,14033,76,76.0,66,66.0,True,BFS_HOTEL_CAPACITY_DATA,20.147902869757175,BFS_HOTEL_CAPACITY_DATA
Kloten,2015,2,2015-02-01,17029,17029.0,12903,12903.0,5302,5302.0,11727.0,9.742731773656734,BFS_HOTEL_DATA,62,4,4,602,602,906,906,12903,12903,17029,17029,13185,13185,78,78.0,67,67.0,True,BFS_HOTEL_CAPACITY_DATA,18.79580573951435,BFS_HOTEL_CAPACITY_DATA
Kloten,2015,3,2015-03-01,19984,19984.0,14778,14778.0,6666,6666.0,13318.0,9.902737271145424,BFS_HOTEL_DATA,62,4,4,602,602,906,906,14778,14778,19984,19984,15969,15969,86,86.0,71,71.0,True,BFS_HOTEL_CAPACITY_DATA,22.05739514348786,BFS_HOTEL_CAPACITY_DATA
