municipality_name_source,color,match_type,matched_raw,evidence_status,source_id
Aarau,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Adelboden,vert,normalisation_exacte,Adelboden,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Aeschi bei Spiez,vert,normalisation_exacte,Aeschi bei Spiez,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Altstätten,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Amden,vert,normalisation_exacte,Amden,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Andermatt,vert,normalisation_exacte,Andermatt,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Anniviers,vert,normalisation_exacte,Anniviers,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Appenzell,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Arbon,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Arosa,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Ascona,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Bad Ragaz,vert,alias_fusion_ancienne_commune_ou_localite,Ragaz,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Baden,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Basel,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Beatenberg,vert,normalisation_exacte,Beatenberg,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Beckenried,vert,normalisation_exacte,Beckenried,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Bellinzona,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Bern,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Biel/Bienne,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
