official_destination_id,official_destination_name,official_destination_path,official_regions,official_region_codes,official_coordinate_count,official_latitude_first,official_longitude_first,candidate_resort_id,entity_resolution_method,entity_resolution_status,current_member_snapshot,snapshot_retrieval_date,source_id,source_url,source_sha256
1805,Aeschiallmend,/fr/stations/aeschiallmend-1805,Berne,BE,1,46.64742921,7.726616478,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
4,Anzère,/fr/stations/anzere-4,Valais,VS,1,46.29536262,7.394973804,anzere,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
118,Arolla,/fr/stations/espace-dent-blanche-arolla-118,Valais,VS,1,46.02210383,7.480742419,arolla,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
1800,Axalp,/fr/stations/axalp-1800,Berne,BE,1,46.71530973,8.040098693,axalp_brienz,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
4444,Balmberg,/fr/stations/balmberg-4444,Soleure,SO,1,47.26594371,7.543526064,balmberg,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
1799,Beatenberg-Hohwald,/fr/stations/beatenberg-hohwald-1799,Berne,BE,1,46.70787791,7.815691321,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
4447,Bergbahnen Gstaad,/fr/stations/bergbahnen-gstaad-4447,Berne|Vaud,BE|VD,1,46.46764607111208,7.282322020344294,gstaad,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
5567,Bernex,/fr/stations/bernex-5567,France,France,1,46.356143118829706,6.689721459767422,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
4445,Blatten-Belalp,/fr/stations/blatten-belalp-4445,Valais,VS,1,46.3717625,7.974528353,belalp,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
12,Bugnenets-Savagnières,/fr/stations/bugnenets-savagnieres-12,Neuchâtel,NE,1,47.12724069,7.006993922,les_bugnenets_savagnieres,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
2765,Bumbach Schangnau,/fr/stations/bumbach-schangnau-2765,Berne,BE,1,46.81430707,7.893716052,bumbach_schangnau,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
14,Charmey,/fr/stations/charmey-14,Fribourg,FR,1,46.61896912,7.169565997,charmey,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
17,Crêt-du-Puy,/fr/stations/cret-du-puy-17,Neuchâtel,NE,1,47.09323289,6.982128586,le_paquier_cret_du_puy,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
3614,Devero,/fr/stations/devero-3614,Italie,Italie,1,46.31472953,8.254767038,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
5520,Domobianca,/fr/stations/domobianca-5520,Italie,Italie,1,46.10299033364616,8.25672450194638,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
2766,Eischoll,/fr/stations/eischoll-2766,Valais,VS,1,46.29271569,7.78081187,eischoll_sportbahnen_eischoll,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
1797,Eriz,/fr/stations/eriz-1797,Berne,BE,1,46.7843605,7.826814718,eriz,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
88,Evolène,/fr/stations/espace-dent-blanche-evolene-88,Valais,VS,1,46.12513573,7.478491204,evolene,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
1804,Faltschen,/fr/stations/faltschen-1804,Berne,BE,1,46.63111482,7.719558125,faltschen_reichenbach_im_kandertal,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
2767,Gantrisch Gurnigel,/fr/stations/gantrisch-gurnigel-2767,Berne,BE,1,46.72341632,7.446214769,gantrisch_gurnigel,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
85,Glacier 3000,/fr/stations/glacier-3000-85,Vaud,VD,1,46.35410336,7.205630996,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
4446,Grenchenberg,/fr/stations/grenchenberg-4446,Soleure,SO,1,47.22404367,7.385151175,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
18,Grimentz-Zinal,/fr/stations/grimentz-zinal-18,Valais,VS,2,46.16318303,7.612292466,grimentz_zinal_grimentz_zinal,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
1382,Grimmialp,/fr/stations/grimmialp-1382,Berne,BE,1,46.56845035,7.483349605,grimmialp_diemtigtal,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
2768,Gspon,/fr/stations/gspon-2768,Valais,VS,1,46.22681072,7.904189525,staldenried_gspon,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
2769,Gurnigelbad,/fr/stations/gurnigelbad-2769,Berne,BE,1,46.7588195,7.446296235,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
1798,Habkern,/fr/stations/habkern-1798,Berne,BE,1,46.72541959,7.861133096,habkern,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
1795,Heimenschwand,/fr/stations/heimenschwand-1795,Berne,BE,1,46.82580692,7.681487701,heimenschwand_buchholterberg,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
3590,Hirmentaz,/fr/stations/hirmentaz-3590,France,France,1,46.24553371,6.505413286,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
5569,Hohe Winde,/fr/stations/hohe-winde-5569,Soleure,SO,1,47.34790302057197,7.602086899531456,hohe_winde_beinwil,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
3589,Homberg,/fr/stations/homberg-3589,Berne,BE,1,46.77274692,7.677538407,homberg_skilift_dreiligass_winteregg,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
19,Jaun,/fr/stations/jaun-19,Fribourg,FR,1,46.60819052,7.291430523,jaun_gastlosen,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
1802,Jaunpass,/fr/stations/jaunpass-1802,Berne,BE,1,46.59351432,7.338367714,jaunpass,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
1381,Jeizinen,/fr/stations/jeizinen-1381,Valais,VS,1,46.33471529,7.726888422,gampel_jeizinen_jeizinen_feselalpe_gampel,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
