station_abbr,month_date,daily_rows_present,temperature_mean_observed_days,temperature_min_observed_days,temperature_max_observed_days,precipitation_observed_days,invalid_negative_precipitation_days,air_temperature_mean_c,air_temperature_daily_min_mean_c,air_temperature_daily_max_mean_c,freezing_days,precipitation_total_mm,precipitation_days_ge_1mm,calendar_days,temperature_mean_coverage_share,temperature_min_coverage_share,temperature_max_coverage_share,precipitation_coverage_share,freezing_day_share_observed,precipitation_day_ge_1mm_share_observed,month_weather_proxy_usable,calendar_month,climatology_years,air_temperature_2013_2025_normal_c,precipitation_2013_2025_normal_mm,air_temperature_anomaly_c,precipitation_anomaly_mm,precipitation_ratio_to_2013_2025_normal,weather_source_id,precipitation_observation_window,weather_station_name,weather_station_elevation_m,weather_station_latitude,weather_station_longitude
ABO,2013-01-01,31,31,31,31,31,0,-1.803225806451613,-5.409677419354838,1.803225806451613,28,54.7,11,31,1.0,1.0,1.0,1.0,0.9032258064516129,0.3548387096774194,True,1,13,-0.5900744416873449,99.11538461538461,-1.213151364764268,-44.41538461538461,0.5518820333721381,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2013-02-01,28,28,28,28,28,0,-5.410714285714286,-9.142857142857142,-1.7357142857142858,27,95.8,13,28,1.0,1.0,1.0,1.0,0.9642857142857143,0.4642857142857143,True,2,13,0.35730390299355813,65.65384615384616,-5.768018188707844,30.146153846153837,1.45916813122437,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2013-03-01,31,31,31,31,31,0,0.1774193548387097,-3.196774193548387,4.041935483870968,26,52.4,11,31,1.0,1.0,1.0,1.0,0.8387096774193549,0.3548387096774194,True,3,13,2.757320099255583,79.56153846153846,-2.5799007444168733,-27.161538461538463,0.6586096877114956,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2013-04-01,30,30,30,30,30,0,5.15,1.0066666666666666,9.706666666666667,15,98.09999999999998,9,30,1.0,1.0,1.0,1.0,0.5,0.3,True,4,13,5.894615384615384,84.09230769230768,-0.7446153846153836,14.007692307692295,1.166575192096597,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2013-05-01,31,31,31,31,31,0,6.170967741935484,2.4967741935483874,10.496774193548386,9,180.20000000000005,18,31,1.0,1.0,1.0,1.0,0.2903225806451613,0.5806451612903226,True,5,13,8.869727047146402,150.30769230769232,-2.698759305210918,29.892307692307725,1.1988741044012285,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2013-06-01,30,30,30,30,30,0,11.65,7.5233333333333325,16.136666666666667,0,106.30000000000001,12,30,1.0,1.0,1.0,1.0,0.0,0.4,True,6,13,14.091025641025642,129.7,-2.4410256410256412,-23.399999999999977,0.8195836545875098,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2013-07-01,31,31,31,31,31,0,15.948387096774193,11.251612903225807,21.05806451612903,0,104.10000000000001,9,31,1.0,1.0,1.0,1.0,0.0,0.2903225806451613,True,7,13,15.654342431761787,163.97692307692307,0.29404466501240556,-59.87692307692306,0.6348454285312193,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2013-08-01,31,31,31,31,31,0,14.212903225806452,9.72258064516129,19.0258064516129,0,90.8,10,31,1.0,1.0,1.0,1.0,0.0,0.3225806451612903,True,8,13,15.133746898263029,137.8,-0.9208436724565772,-47.000000000000014,0.6589259796806965,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2013-09-01,30,30,30,30,30,0,11.57,7.713333333333334,16.02,0,124.00000000000001,12,30,1.0,1.0,1.0,1.0,0.0,0.4,True,9,13,11.504102564102565,99.9923076923077,0.06589743589743513,24.00769230769231,1.2400953919532272,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2013-10-01,31,31,31,31,31,0,8.974193548387097,5.535483870967742,13.3,4,94.7,12,31,1.0,1.0,1.0,1.0,0.12903225806451613,0.3870967741935484,True,10,13,8.503225806451614,87.63076923076923,0.47096774193548363,7.069230769230771,1.0806706460674158,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2013-11-01,30,30,30,30,30,0,0.44,-2.646666666666667,3.6599999999999997,20,133.1,15,30,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,True,11,13,3.291794871794872,90.35384615384615,-2.8517948717948722,42.746153846153845,1.4730972245870935,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
