destination_unit_id,destination_name,event_id,event_type,source_resort_name,candidate_resort_id,entry_season,effective_month,effective_month_precision,component_count_change,source_id,source_date,scope_review_status,eligible_for_reviewed_outcome_panel,treatment_ready
anniviers_magic_portfolio,Anniviers Magic Pass portfolio,MAGIC_EVENT_3a560eaae2a2,base_pass_entry,Grimentz-Zinal,grimentz_zinal_grimentz_zinal,2017/2018,2017-11-01,exact_product_validity_date,1,MAGIC_2017,2017-04-11,approved_complete_observed_municipal_scope,True,False
anniviers_magic_portfolio,Anniviers Magic Pass portfolio,MAGIC_EVENT_fe4b42317a8c,base_pass_entry,St-Luc / Chandolin,st_luc_chandolin,2017/2018,2017-11-01,exact_product_validity_date,1,MAGIC_2017,2017-04-11,approved_complete_observed_municipal_scope,True,False
axalp,Axalp,MAGIC_EVENT_deea30b9cedc,base_pass_entry,Axalp,axalp_brienz,2022/2023,2022-05-01,analytical_month_anchor,1,MAGIC_2022,2022-03-15,approved_core_municipality_proxy,True,False
bumbach,Bumbach,MAGIC_EVENT_aa489c4d1dbf,base_pass_entry,Bumbach,bumbach_schangnau,2023/2024,2023-05-01,analytical_month_anchor,1,MAGIC_2023,2023-03-14,approved_core_municipality_proxy,True,False
crans_montana,Crans-Montana,MAGIC_EVENT_75f74c14a850,base_pass_entry,Crans-Montana,crans_montana_crans_montana,2017/2018,2017-11-01,exact_product_validity_date,1,MAGIC_2017,2017-04-11,approved_core_municipality_proxy,True,False
crans_montana,Crans-Montana,MAGIC_EVENT_a93726b62aa2,base_pass_exit,Crans-Montana,crans_montana_crans_montana,,2020-04-01,documented_last_active_month,-1,MAGIC_PRESS_ARCHIVE,2019-10-14,approved_core_municipality_proxy,True,False
espace_dent_blanche,Espace Dent Blanche,MAGIC_EVENT_88d598a65c98,base_pass_entry,Arolla,arolla,2018/2019,2018-05-01,analytical_month_anchor,1,MAGIC_2018,2018-03-07,approved_complete_observed_municipal_scope,True,False
espace_dent_blanche,Espace Dent Blanche,MAGIC_EVENT_4355dae12496,base_pass_entry,Evolène,evolene,2018/2019,2018-05-01,analytical_month_anchor,1,MAGIC_2018,2018-03-07,approved_complete_observed_municipal_scope,True,False
espace_dent_blanche,Espace Dent Blanche,MAGIC_EVENT_9030394c7d33,base_pass_entry,La Forclaz,la_forclaz,2018/2019,2018-05-01,analytical_month_anchor,1,MAGIC_2018,2018-03-07,approved_complete_observed_municipal_scope,True,False
gstaad_operator_domain,Bergbahnen Destination Gstaad,MAGIC_EVENT_12fad7da9a31,base_pass_entry,Bergbahnen Gstaad,gstaad,2025/2026,2025-05-01,exact_operator_membership_date,1,MAGIC_2025,2025-03-10,excluded_incomplete_composite_outcome_scope,False,False
les_pleiades,Les Pléiades,MAGIC_EVENT_c93b34a1b0b7,base_pass_entry,Les Pléiades,les_pleiades,2018/2019,2018-05-01,analytical_month_anchor,1,MAGIC_2018,2018-03-07,approved_core_municipality_proxy,True,False
meiringen_hasliberg,Meiringen-Hasliberg,MAGIC_EVENT_9e5621c85ebb,base_pass_entry,Meiringen-Hasliberg,meiringen_hasliberg,2025/2026,2025-05-01,exact_operator_membership_date,1,MAGIC_2025,2025-03-10,approved_complete_observed_municipal_scope,True,False
moleson,Moléson,MAGIC_EVENT_48cf85b2c432,base_pass_entry,Moléson,moleson_la_gruyere,2017/2018,2017-11-01,exact_product_validity_date,1,MAGIC_2017,2017-04-11,approved_core_municipality_proxy,True,False
reichenbach_magic_portfolio,Reichenbach im Kandertal Magic Pass portfolio,MAGIC_EVENT_703c57237aae,base_pass_entry,Faltschen,faltschen_reichenbach_im_kandertal,2022/2023,2022-05-01,analytical_month_anchor,1,MAGIC_2022,2022-03-15,approved_complete_observed_municipal_scope,True,False
reichenbach_magic_portfolio,Reichenbach im Kandertal Magic Pass portfolio,MAGIC_EVENT_2343a1c8d7ef,base_pass_entry,Kiental,kiental,2023/2024,2023-05-01,analytical_month_anchor,1,MAGIC_2023,2023-03-14,approved_complete_observed_municipal_scope,True,False
saas_fee,Saas-Fee,MAGIC_EVENT_32f5ba9b74bf,base_pass_entry,Saas-Fee,saas_fee,2019/2020,2019-05-01,official_validity_month,1,MAGIC_2019,2019-03-13,approved_core_municipality_proxy,True,False
sainte_croix_les_rasses,Sainte-Croix / Les Rasses,MAGIC_EVENT_5b325b76233f,base_pass_entry,Sainte-Croix - Les Rasses,sainte_croix_les_rasses,2023/2024,2023-05-01,analytical_month_anchor,1,MAGIC_2023,2023-03-14,excluded_incomplete_composite_outcome_scope,False,False
schwanden,Schwanden,MAGIC_EVENT_8a005fd903b6,base_pass_entry,Schwanden,schwanden_sigriswil_thunersee,2024/2025,2024-05-01,analytical_month_anchor,1,MAGIC_2024,2024-03-12,approved_core_municipality_proxy,True,False
villars_gryon_les_diablerets,Villars-Gryon-Les Diablerets,MAGIC_EVENT_ad542a431b3b,base_pass_entry,Villars-Gryon,villars_gryon_villars_gryon_les_diablerets,2017/2018,2017-11-01,exact_product_validity_date,1,MAGIC_2017,2017-04-11,excluded_incomplete_composite_outcome_scope,False,False
