resort_id,resort_name_canonical,cluster_id,point_municipality_bfs_id,documented_membership_events,current_official_destination_candidates,identity_scope_score,lift_assignment_score,geolocation_score,tourism_exposure_score,hotel_outcome_score,membership_history_score,infrastructure_feature_score,snow_climate_score,data_quality_score,causal_ready,data_quality_warnings
arolla,Arolla,SKI_CLUSTER_070,6083,1,1,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,56.2,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
axalp_brienz,Axalp Brienz,SKI_CLUSTER_095,573,1,1,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,56.2,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
bumbach_schangnau,Bumbach - Schangnau,SKI_CLUSTER_074,906,1,1,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,56.2,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
crans_montana_crans_montana,Crans - Montana Crans - Montana,SKI_CLUSTER_020,6253,3,0,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,56.2,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
evolene,Evolène,SKI_CLUSTER_106,6083,1,1,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,56.2,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
faltschen_reichenbach_im_kandertal,Faltschen - Reichenbach im Kandertal,SKI_CLUSTER_110,567,1,1,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,56.2,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
grimentz_zinal_grimentz_zinal,Grimentz/Zinal Grimentz - Zinal,SKI_CLUSTER_028,6252,1,1,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,56.2,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
grimmialp_diemtigtal,Grimmialp Diemtigtal,SKI_CLUSTER_107,762,0,1,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,56.2,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
gstaad,Gstaad,SKI_CLUSTER_016,843,1,1,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,56.2,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
kiental,Kiental,SKI_CLUSTER_137,567,1,1,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,56.2,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
klewenalp_stockhutte,Klewenalp - Stockhütte,SKI_CLUSTER_003,1501,0,1,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,56.2,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
les_pleiades,Les Pléiades,SKI_CLUSTER_023,5892,1,1,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,56.2,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
meiringen_hasliberg,Meiringen - Hasliberg,SKI_CLUSTER_024,783,1,1,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,56.2,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
moleson_la_gruyere,Moléson - La Gruyère,SKI_CLUSTER_023,2135,1,1,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,56.2,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
saas_fee,Saas - Fee,SKI_CLUSTER_015,6290,1,1,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,56.2,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
sainte_croix_les_rasses,Sainte Croix - Les Rasses,SKI_CLUSTER_050,5552,1,1,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,56.2,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
schwanden_sigriswil_thunersee,Schwanden - Sigriswil Thunersee,SKI_CLUSTER_046,938,1,1,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,56.2,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
springenboden_diemtigtal,Springenboden Diemtigtal,SKI_CLUSTER_063,762,0,1,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,56.2,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
st_luc_chandolin,St - Luc Chandolin,SKI_CLUSTER_036,6252,1,1,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,56.2,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
vallee_de_joux,Vallée de Joux,SKI_CLUSTER_101,5872,0,1,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,56.2,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
villars_gryon_villars_gryon_les_diablerets,Villars - Gryon Villars - Gryon - Les Diablerets,SKI_CLUSTER_008,5409,1,1,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,56.2,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
wiriehorn_diemtigtal,Wiriehorn Diemtigtal,SKI_CLUSTER_063,762,0,1,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,56.2,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
la_forclaz,La Forclaz,SKI_CLUSTER_134,6083,1,1,0.0,1.0,1.0,0.0,1.0,0.5,0.6666666666666666,0.0,52.1,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing
adelboden,Adelboden,SKI_CLUSTER_014,561,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
aela_maloja,Aela Maloja,SKI_CLUSTER_120,3792,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
aeschi,Aeschi,SKI_CLUSTER_110,562,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
alpsteinblick_gonten,Alpsteinblick Gonten,SKI_CLUSTER_083,3102,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
amden,Amden,SKI_CLUSTER_082,3311,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
andermatt_oberalp_sedrun,Andermatt - Oberalp - Sedrun,SKI_CLUSTER_017,3986,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
arosa_lenzerheide,Arosa Lenzerheide,SKI_CLUSTER_007,3901,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
atzmannig,Atzmännig,SKI_CLUSTER_066,3342,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
beatenberg_niederhorn,Beatenberg - Niederhorn,SKI_CLUSTER_046,571,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
bivio,Bivio,SKI_CLUSTER_119,3543,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
