resort_id,resort_name_canonical,resort_name_original,latitude,longitude,region,url_station,altitude_top_m,ski_area_km,number_lifts,cluster_id,assignment_quality,distance_m,identity_status,feature_observation_date,municipality_bfs_id,country,magic_pass_member,magic_pass_entry_date,source_ids
balmberg,Balmberg,Balmberg Balmberg,47.261175,7.539282,Argovie - Soleure,https://www.bergfex.ch/balmberg/,1200,5,3,SKI_CLUSTER_108,confident,228.5,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
hohe_winde_beinwil,Hohe Winde Beinwil,Hohe Winde Hohe Winde / Beinwil,47.346791,7.594085,Argovie - Soleure,https://www.bergfex.ch/hohe-winde-beinwil/,1073,4,2,SKI_CLUSTER_179,confident,15.2,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
bumbach_schangnau,Bumbach - Schangnau,Bumbach Bumbach - Schangnau,46.806787,7.887497,Berne et région,https://www.bergfex.ch/bumbach-schangnau/,1365,9,4,SKI_CLUSTER_074,confident,23.1,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
chuderhusi,Chuderhüsi,Chuderhüsi Chuderhüsi,46.874583,7.720900,Berne et région,https://www.bergfex.ch/chuderhuesi/,1100,1,1,SKI_CLUSTER_183,confident,14.1,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
gantrisch_gurnigel,Gantrisch - Gurnigel,Gantrisch Gantrisch - Gurnigel,46.724344,7.453280,Berne et région,https://www.bergfex.ch/gantrisch-gurnigel/,1670,6,3,SKI_CLUSTER_051,confident,26.2,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
gurten_bern,Gurten Bern,Gurten Gurten / Bern,46.918543,7.440187,Berne et région,https://www.bergfex.ch/gurten/,855,0.2,1,SKI_CLUSTER_051,review,17678.6,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
heimenschwand_buchholterberg,Heimenschwand Buchholterberg,Heimenschwand Heimenschwand / Buchholterberg,46.825759,7.681117,Berne et région,https://www.bergfex.ch/heimenschwand-buchholterberg/,1180,1,1,SKI_CLUSTER_109,confident,14.2,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
homberg_skilift_dreiligass_winteregg,Homberg Skilift Dreiligass - Winteregg,Homberg Homberg / Skilift Dreiligass-Winteregg,46.770492,7.677759,Berne et région,https://www.bergfex.ch/homberg/,1100,3,1,SKI_CLUSTER_136,confident,6.7,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
linden_skilift_linden,Linden Skilift Linden,Linden Skilift Linden,46.838971,7.677598,Berne et région,https://www.bergfex.ch/skilift-linden/,1040,2,3,SKI_CLUSTER_109,confident,21.7,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
ottenleuebad,Ottenleuebad,Ottenleuebad Ottenleuebad,46.730566,7.367363,Berne et région,https://www.bergfex.ch/ottenleuebad/,1600,5,1,SKI_CLUSTER_051,confident,250.1,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
ruschegg_eywald,Rüschegg - Eywald,Rüschegg Rüschegg - Eywald,46.761737,7.415943,Berne et région,https://www.bergfex.ch/rueschegg-eywald/,1550,13,2,SKI_CLUSTER_051,confident,375.6,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
schwarzenbuhl_selital,Schwarzenbühl Selital,Schwarzenbühl Schwarzenbühl / Selital,46.744577,7.389829,Berne et région,https://www.bergfex.ch/schwarzenbuehl-selital/,1600,8,3,SKI_CLUSTER_051,confident,3.4,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
langenbruck,Langenbruck,Langenbruck Langenbruck,47.345010,7.763203,Bâle et région,https://www.bergfex.ch/langenbruck/,950,1,1,SKI_CLUSTER_111,confident,50.5,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
bulle_la_chia,Bulle - La Chia,Bulle Bulle - La Chia,46.618141,7.055197,Fribourg,https://www.bergfex.ch/bulle-lachia/,1300,3,1,SKI_CLUSTER_023,confident,3413.8,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
charmey,Charmey,Charmey Charmey,46.626158,7.206259,Fribourg,https://www.bergfex.ch/charmey/,1630,30,7,SKI_CLUSTER_091,confident,32.5,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
hapfere_plaffeien,Hapfere Plaffeien,Hapfere Hapfere / Plaffeien,46.730875,7.280062,Fribourg,https://www.bergfex.ch/hapfere-plaffeien/,935,2,1,SKI_CLUSTER_173,confident,0.4,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
jaun_gastlosen,Jaun Gastlosen,Jaun Jaun Gastlosen,46.610653,7.276211,Fribourg,https://www.bergfex.ch/jaun/,1600,25,4,SKI_CLUSTER_092,confident,513.9,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
la_berra_la_roche,La Berra - La Roche,La Berra La Berra - La Roche,46.676091,7.175961,Fribourg,https://www.bergfex.ch/la-berra/,1640,20,6,SKI_CLUSTER_069,confident,256.2,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
les_paccots_chatel_saint_denis,Les Paccots - Châtel Saint Denis,Les Paccots Les Paccots - Châtel Saint Denis,46.521312,6.947823,Fribourg,https://www.bergfex.ch/les-paccots-chatel-saint-denis/,1500,20,10,SKI_CLUSTER_023,confident,263.3,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
moleson_la_gruyere,Moléson - La Gruyère,Moléson Moléson - La Gruyère,46.550568,7.020500,Fribourg,https://www.bergfex.ch/moleson-la-gruyere/,2002,30,7,SKI_CLUSTER_023,confident,13.3,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
mont_gibloux,Mont Gibloux,Mont Gibloux Mont Gibloux,46.686425,7.037687,Fribourg,https://www.bergfex.ch/mont-gibloux/,1200,1,2,SKI_CLUSTER_163,confident,35.0,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
rathvel,Rathvel,Rathvel Rathvel,46.545639,6.979065,Fribourg,https://www.bergfex.ch/rathvel/,1496,8,4,SKI_CLUSTER_023,confident,268.2,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
schwarzsee_kaiseregg_bahnen,Schwarzsee Kaiseregg Bahnen,Schwarzsee Schwarzsee / Kaiseregg Bahnen,46.664635,7.291059,Fribourg,https://www.bergfex.ch/schwarzsee/,1750,20,4,SKI_CLUSTER_093,confident,28.1,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
aela_maloja,Aela Maloja,Aela / Maloja Aela / Maloja,46.396348,9.704447,Grisons,https://www.bergfex.ch/aela-maloja/,2159,3,1,SKI_CLUSTER_120,confident,68.9,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
andermatt_oberalp_sedrun,Andermatt - Oberalp - Sedrun,Andermatt Andermatt - Oberalp - Sedrun,46.667286,8.711815,Grisons,https://www.bergfex.ch/andermatt-oberalp-sedrun/,2600,70,17,SKI_CLUSTER_017,confident,142.5,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
arosa_lenzerheide,Arosa Lenzerheide,Arosa Lenzerheide Arosa Lenzerheide,46.764619,9.607973,Grisons,https://www.bergfex.ch/arosa-lenzerheide/,2865,225,43,SKI_CLUSTER_007,confident,177.2,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
avers,Avers,Avers Avers,46.445427,9.539695,Grisons,https://www.bergfex.ch/avers/,2600,8,3,SKI_CLUSTER_118,confident,31.2,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
bergun_filisur_bergun_filisur_darlux,Bergün - Filisur Bergün - Filisur / Darlux,Bergün-Filisur Bergün - Filisur / Darlux,46.623299,9.771051,Grisons,https://www.bergfex.ch/berguen-filisur/,2567,25,7,SKI_CLUSTER_086,confident,34.3,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
bivio,Bivio,Bivio Bivio,46.469020,9.650717,Grisons,https://www.bergfex.ch/bivio/,2560,30,4,SKI_CLUSTER_119,confident,155.5,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
brambruesch_chur_brambruesch,Brambrüesch Chur - Brambrüesch,Brambrüesch Chur - Brambrüesch,46.829370,9.516478,Grisons,https://www.bergfex.ch/chur-brambrueesch/,2160,20,4,SKI_CLUSTER_007,confident,9.0,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
brigels_waltensburg_andiast,Brigels Waltensburg Andiast,Brigels Brigels Waltensburg Andiast,46.795006,9.075394,Grisons,https://www.bergfex.ch/brigels/,2418,40,6,SKI_CLUSTER_027,confident,132.9,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
bugls_s_chanf,Bügls - S - chanf,Bügls Bügls - S-chanf,46.613038,9.997939,Grisons,https://www.bergfex.ch/buegls-s-chanf/,1730,0.5,1,SKI_CLUSTER_087,confident,3451.4,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
corvatsch_furtschellas,Corvatsch - Furtschellas,Corvatsch Corvatsch - Furtschellas,46.432119,9.823236,Grisons,https://www.bergfex.ch/corvatsch-furtschellas/,3303,120,14,SKI_CLUSTER_033,confident,43.3,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
corviglia_st_moritz,Corviglia St. Moritz,Corviglia Corviglia / St. Moritz,46.513102,9.818344,Grisons,https://www.bergfex.ch/st-moritz-corviglia/,3057,163,24,SKI_CLUSTER_022,confident,28.8,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
diavolezza_lagalb,Diavolezza - Lagalb,Diavolezza Diavolezza - Lagalb,46.413612,9.966389,Grisons,https://www.bergfex.ch/diavolezza/,2978,45,5,SKI_CLUSTER_099,confident,14.0,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
disentis,Disentis,Disentis Disentis,46.704321,8.814468,Grisons,https://www.bergfex.ch/disentis/,2850,60,10,SKI_CLUSTER_017,confident,109.4,provisional_existing_listing_not_independent_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOCAL_8b04208d016e|LOCAL_4431c47c859d|LOCAL_03b4345dbe87
