resort_id,resort_name_canonical,cluster_id,identity_status,point_longitude,point_latitude,point_municipality_bfs_id,point_municipality_name,point_municipality_canton,boundary_reference_year,selection_status,relationship_type,assignment_method,assignment_confidence,bfs_hotel_universe,bfs_hotel_municipality_name,source_id,query_source_id,source_sha256,reviewed_destination_unit_id,outcome_scope_review_status,eligible_for_reviewed_outcome_panel,outcome_allocation_weight,causal_exposure_approved,causal_exposure_note
adelboden,Adelboden,SKI_CLUSTER_014,provisional_existing_listing_not_independent_domain,7.55692,46.493616,561,Adelboden,BE,2026,unique_current_polygon,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,True,Adelboden,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_879dc5385003,bcb3e1fa9c194d7b29f98e1f996f7e6c2fa070d4e9fd0d73c43ee2004773c5e1,,not_reviewed,False,,False,Point containment alone is not a tourism catchment; use the reviewed destination-municipality table for outcome aggregation.
aela_maloja,Aela Maloja,SKI_CLUSTER_120,provisional_existing_listing_not_independent_domain,9.704447,46.396348,3792,Bregaglia,GR,2026,unique_current_polygon,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,True,Bregaglia,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_a132e179e44b,ff77411df8499a51f4d648aa665dbca0b7da94305621e80f06dc757d1bf7b211,,not_reviewed,False,,False,Point containment alone is not a tourism catchment; use the reviewed destination-municipality table for outcome aggregation.
aeschi,Aeschi,SKI_CLUSTER_110,provisional_existing_listing_not_independent_domain,7.727723,46.646991,562,Aeschi bei Spiez,BE,2026,unique_current_polygon,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,True,Aeschi bei Spiez,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_c03fcb7c3600,71b4a77ff1886611bb6bfb2404b107b1f55fc3a3b50a06d34c2eb414c3beca55,,not_reviewed,False,,False,Point containment alone is not a tourism catchment; use the reviewed destination-municipality table for outcome aggregation.
airolo_luina,Airolo - Lüina,SKI_CLUSTER_059,provisional_existing_listing_not_independent_domain,8.607874,46.531174,5061,Airolo,TI,2026,unique_current_polygon,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,False,,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_3d28d091acc8,a494c2a17f54aef8173116f86ecaa624a2b6f81842d1e81746c691b13b708571,,not_reviewed,False,,False,Point containment alone is not a tourism catchment; use the reviewed destination-municipality table for outcome aggregation.
airolo_pescium_airolo_pescium,Airolo - Pesciüm Airolo - Pesciüm,SKI_CLUSTER_059,provisional_existing_listing_not_independent_domain,8.60384,46.523792,5061,Airolo,TI,2026,unique_current_polygon,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,False,,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_2c9f7c9d4761,a494c2a17f54aef8173116f86ecaa624a2b6f81842d1e81746c691b13b708571,,not_reviewed,False,,False,Point containment alone is not a tourism catchment; use the reviewed destination-municipality table for outcome aggregation.
aletsch_arena_riederalp_bettmeralp_fiesch_eggishorn,Aletsch Arena Riederalp - Bettmeralp - Fiesch - Eggishorn,SKI_CLUSTER_009,provisional_existing_listing_not_independent_domain,8.099413,46.416381,6057,Fiesch,VS,2026,unique_current_polygon,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,False,,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_3127af4bdfa9,5750aa6c5561fe86c58a7566ab6ba3cb7b4a552b2f2127b2906c0b40bb39f68e,,not_reviewed,False,,False,Point containment alone is not a tourism catchment; use the reviewed destination-municipality table for outcome aggregation.
alpe_di_neggia,Alpe di Neggia,SKI_CLUSTER_208,provisional_existing_listing_not_independent_domain,8.838201,46.111627,5398,Gambarogno,TI,2026,unique_current_polygon,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,False,,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_c0c76b9b3ed6,4dd1d292dd1523e86e7a7144cb2f2870c97694fb48cec9dec8e15464a9959fbf,,not_reviewed,False,,False,Point containment alone is not a tourism catchment; use the reviewed destination-municipality table for outcome aggregation.
alpsteinblick_gonten,Alpsteinblick Gonten,SKI_CLUSTER_083,provisional_existing_listing_not_independent_domain,9.343958,47.317325,3102,Gonten,AI,2026,unique_current_polygon,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,True,Gonten,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_dd90a5b36212,0f87032de4675234d785234eeb542a50182a7935000ee53f9b615bb606a39628,,not_reviewed,False,,False,Point containment alone is not a tourism catchment; use the reviewed destination-municipality table for outcome aggregation.
amden,Amden,SKI_CLUSTER_082,provisional_existing_listing_not_independent_domain,9.146032,47.159431,3311,Amden,SG,2026,unique_current_polygon,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,True,Amden,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_542522074a01,af85ea901f6c30979c26fba0d8241a5faa30f18cef79d136bb2aaaac46c2cd1f,,not_reviewed,False,,False,Point containment alone is not a tourism catchment; use the reviewed destination-municipality table for outcome aggregation.
andermatt_oberalp_sedrun,Andermatt - Oberalp - Sedrun,SKI_CLUSTER_017,provisional_existing_listing_not_independent_domain,8.711815,46.667286,3986,Tujetsch,GR,2026,unique_current_polygon,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,True,Tujetsch,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_fc960b04ffce,c6e3f4b6e5d7fd3b5698ad48948f2d5a126e0b156afa714eb45002b9164bdc02,,not_reviewed,False,,False,Point containment alone is not a tourism catchment; use the reviewed destination-municipality table for outcome aggregation.
