resort_id,point_longitude,point_latitude,point_municipality_bfs_id,point_municipality_name,point_municipality_canton,boundary_reference_year,selection_status,current_polygon_candidates,relationship_type,assignment_method,assignment_confidence,tourism_exposure_interpretation,bfs_hotel_universe,bfs_hotel_municipality_name,hotel_panel_name_present,source_id,query_source_id,source_sha256
adelboden,7.55692,46.493616,561,Adelboden,BE,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Adelboden,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_879dc5385003,bcb3e1fa9c194d7b29f98e1f996f7e6c2fa070d4e9fd0d73c43ee2004773c5e1
aela_maloja,9.704447,46.396348,3792,Bregaglia,GR,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Bregaglia,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_a132e179e44b,ff77411df8499a51f4d648aa665dbca0b7da94305621e80f06dc757d1bf7b211
aeschi,7.727723,46.646991,562,Aeschi bei Spiez,BE,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Aeschi bei Spiez,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_c03fcb7c3600,71b4a77ff1886611bb6bfb2404b107b1f55fc3a3b50a06d34c2eb414c3beca55
airolo_luina,8.607874,46.531174,5061,Airolo,TI,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_3d28d091acc8,a494c2a17f54aef8173116f86ecaa624a2b6f81842d1e81746c691b13b708571
airolo_pescium_airolo_pescium,8.60384,46.523792,5061,Airolo,TI,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_2c9f7c9d4761,a494c2a17f54aef8173116f86ecaa624a2b6f81842d1e81746c691b13b708571
aletsch_arena_riederalp_bettmeralp_fiesch_eggishorn,8.099413,46.416381,6057,Fiesch,VS,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_3127af4bdfa9,5750aa6c5561fe86c58a7566ab6ba3cb7b4a552b2f2127b2906c0b40bb39f68e
alpe_di_neggia,8.838201,46.111627,5398,Gambarogno,TI,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_c0c76b9b3ed6,4dd1d292dd1523e86e7a7144cb2f2870c97694fb48cec9dec8e15464a9959fbf
alpsteinblick_gonten,9.343958,47.317325,3102,Gonten,AI,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Gonten,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_dd90a5b36212,0f87032de4675234d785234eeb542a50182a7935000ee53f9b615bb606a39628
amden,9.146032,47.159431,3311,Amden,SG,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Amden,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_542522074a01,af85ea901f6c30979c26fba0d8241a5faa30f18cef79d136bb2aaaac46c2cd1f
andermatt_oberalp_sedrun,8.711815,46.667286,3986,Tujetsch,GR,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Tujetsch,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_fc960b04ffce,c6e3f4b6e5d7fd3b5698ad48948f2d5a126e0b156afa714eb45002b9164bdc02
anzere,7.39749,46.312909,6082,Ayent,VS,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_d5b9ca029376,08f135a6ccab807008f855287c183d028ba1053f9a3edf34dd534b6d8f50222c
arolla,7.469587,46.027482,6083,Evolène,VS,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Evolène,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_048fa16e902a,8eef54923e721c56d51a9f5af63207563c1229c8cd182c86b13ed4bac04865d6
arosa_lenzerheide,9.607973,46.764619,3901,Chur,GR,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Chur,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_07e9b92348ae,8d6e21f0da7e8052f4187492b0ae734a7dd24d28dd8df7f523e4c47d551ca736
attinghausen_brusti_attinghausen,8.622749,46.857234,1203,Attinghausen,UR,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_e6971e5556d5,7d83263a5064ba02d2b3685686df80dfab8d7c6ab7685940bcba6b8a61e96f7c
atzmannig,9.003813,47.281732,3342,Eschenbach (SG),SG,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Eschenbach (SG),True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_8144e0b8a17c,19e22ac1d0da8fed9e68ae26f151dbf471e89baacd6d0767d4702f157638cda4
