resort_id,resort_name_canonical,latitude,longitude,altitude_top_m,snow_station_code,snow_station_label,snow_station_latitude,snow_station_longitude,snow_station_elevation_m,snow_station_active_snapshot,snow_station_type,snow_station_distance_km,snow_station_elevation_gap_to_resort_top_m,snow_station_winter_coverage_share_2013_2025,snow_station_usable_winter_seasons,snow_proxy_quality,assignment_method,relationship_type,direct_slope_representation,source_ids,limitations
balmberg,Balmberg,47.261175,7.539282,1200,SHE2,Schibe,46.748825,7.812449,1852,True,SNOW_FLAT,60.6194179443221,652,0.9868421052631579,13,low,nearest_geographic_SLF_snow_station_with_at_least_80pct_winter_coverage_2013_2025,external_mountain_station_proxy_only,False,SLF_IMIS_STATIONS|SLF_IMIS_DAILY_SNOW,"IMIS stations support avalanche monitoring and can differ from the resort in terrain, aspect, exposure, elevation, grooming, and snowmaking."
hohe_winde_beinwil,Hohe Winde Beinwil,47.346791,7.594085,1073,SHE2,Schibe,46.748825,7.812449,1852,True,SNOW_FLAT,68.51828425412083,779,0.9868421052631579,13,low,nearest_geographic_SLF_snow_station_with_at_least_80pct_winter_coverage_2013_2025,external_mountain_station_proxy_only,False,SLF_IMIS_STATIONS|SLF_IMIS_DAILY_SNOW,"IMIS stations support avalanche monitoring and can differ from the resort in terrain, aspect, exposure, elevation, grooming, and snowmaking."
bumbach_schangnau,Bumbach - Schangnau,46.806787,7.887497,1365,SHE2,Schibe,46.748825,7.812449,1852,True,SNOW_FLAT,8.613884896067514,487,0.9868421052631579,13,high,nearest_geographic_SLF_snow_station_with_at_least_80pct_winter_coverage_2013_2025,external_mountain_station_proxy_only,False,SLF_IMIS_STATIONS|SLF_IMIS_DAILY_SNOW,"IMIS stations support avalanche monitoring and can differ from the resort in terrain, aspect, exposure, elevation, grooming, and snowmaking."
chuderhusi,Chuderhüsi,46.874583,7.7209,1100,SHE2,Schibe,46.748825,7.812449,1852,True,SNOW_FLAT,15.623141314753829,752,0.9868421052631579,13,moderate,nearest_geographic_SLF_snow_station_with_at_least_80pct_winter_coverage_2013_2025,external_mountain_station_proxy_only,False,SLF_IMIS_STATIONS|SLF_IMIS_DAILY_SNOW,"IMIS stations support avalanche monitoring and can differ from the resort in terrain, aspect, exposure, elevation, grooming, and snowmaking."
gantrisch_gurnigel,Gantrisch - Gurnigel,46.724344,7.45328,1670,STH2,Vorderstocken,46.682049,7.519649,1791,True,SNOW_FLAT,6.908808670026911,121,0.9987266553480475,13,high,nearest_geographic_SLF_snow_station_with_at_least_80pct_winter_coverage_2013_2025,external_mountain_station_proxy_only,False,SLF_IMIS_STATIONS|SLF_IMIS_DAILY_SNOW,"IMIS stations support avalanche monitoring and can differ from the resort in terrain, aspect, exposure, elevation, grooming, and snowmaking."
gurten_bern,Gurten Bern,46.918543,7.440187,855,STH2,Vorderstocken,46.682049,7.519649,1791,True,SNOW_FLAT,26.983595637727824,936,0.9987266553480475,13,low,nearest_geographic_SLF_snow_station_with_at_least_80pct_winter_coverage_2013_2025,external_mountain_station_proxy_only,False,SLF_IMIS_STATIONS|SLF_IMIS_DAILY_SNOW,"IMIS stations support avalanche monitoring and can differ from the resort in terrain, aspect, exposure, elevation, grooming, and snowmaking."
heimenschwand_buchholterberg,Heimenschwand Buchholterberg,46.825759,7.681117,1180,SHE2,Schibe,46.748825,7.812449,1852,True,SNOW_FLAT,13.159217759819036,672,0.9868421052631579,13,moderate,nearest_geographic_SLF_snow_station_with_at_least_80pct_winter_coverage_2013_2025,external_mountain_station_proxy_only,False,SLF_IMIS_STATIONS|SLF_IMIS_DAILY_SNOW,"IMIS stations support avalanche monitoring and can differ from the resort in terrain, aspect, exposure, elevation, grooming, and snowmaking."
homberg_skilift_dreiligass_winteregg,Homberg Skilift Dreiligass - Winteregg,46.770492,7.677759,1100,SHE2,Schibe,46.748825,7.812449,1852,True,SNOW_FLAT,10.539128796204201,752,0.9868421052631579,13,moderate,nearest_geographic_SLF_snow_station_with_at_least_80pct_winter_coverage_2013_2025,external_mountain_station_proxy_only,False,SLF_IMIS_STATIONS|SLF_IMIS_DAILY_SNOW,"IMIS stations support avalanche monitoring and can differ from the resort in terrain, aspect, exposure, elevation, grooming, and snowmaking."
linden_skilift_linden,Linden Skilift Linden,46.838971,7.677598,1040,SHE2,Schibe,46.748825,7.812449,1852,True,SNOW_FLAT,14.347916265159485,812,0.9868421052631579,13,moderate,nearest_geographic_SLF_snow_station_with_at_least_80pct_winter_coverage_2013_2025,external_mountain_station_proxy_only,False,SLF_IMIS_STATIONS|SLF_IMIS_DAILY_SNOW,"IMIS stations support avalanche monitoring and can differ from the resort in terrain, aspect, exposure, elevation, grooming, and snowmaking."
ottenleuebad,Ottenleuebad,46.730566,7.367363,1600,STH2,Vorderstocken,46.682049,7.519649,1791,True,SNOW_FLAT,12.803943098336147,191,0.9987266553480475,13,moderate,nearest_geographic_SLF_snow_station_with_at_least_80pct_winter_coverage_2013_2025,external_mountain_station_proxy_only,False,SLF_IMIS_STATIONS|SLF_IMIS_DAILY_SNOW,"IMIS stations support avalanche monitoring and can differ from the resort in terrain, aspect, exposure, elevation, grooming, and snowmaking."
ruschegg_eywald,Rüschegg - Eywald,46.761737,7.415943,1550,STH2,Vorderstocken,46.682049,7.519649,1791,True,SNOW_FLAT,11.874791201802202,241,0.9987266553480475,13,moderate,nearest_geographic_SLF_snow_station_with_at_least_80pct_winter_coverage_2013_2025,external_mountain_station_proxy_only,False,SLF_IMIS_STATIONS|SLF_IMIS_DAILY_SNOW,"IMIS stations support avalanche monitoring and can differ from the resort in terrain, aspect, exposure, elevation, grooming, and snowmaking."
