resort_id,resort_name_canonical,latitude,longitude,altitude_top_m,destination_unit_id,destination_name,weather_station_code,weather_station_name,weather_station_latitude,weather_station_longitude,weather_station_elevation_m,weather_station_distance_km,weather_station_elevation_gap_to_resort_top_m,candidate_station_count,weather_proxy_quality,assignment_method,relationship_type,direct_slope_representation,weather_causal_covariate_approved,source_ids,limitations
grimentz_zinal_grimentz_zinal,Grimentz/Zinal Grimentz - Zinal,46.180841,7.556791,2900,anniviers_magic_portfolio,Anniviers Magic Pass portfolio,EVO,Evolène / Villa,46.112211,7.508631,1825.0,8.485408019847018,1075.0,112,high,nearest_current_SwissMetNet_station_with_all_four_daily_parameters_since_2013,regional_weather_station_proxy_only,False,False,METEOSWISS_SMN_STATIONS|METEOSWISS_SMN_INVENTORY|METEOSWISS_SMN_DAILY_SELECTED,"Station weather can differ from the ski area because of elevation, terrain, aspect and local precipitation gradients; use primarily as a regional anomaly proxy."
st_luc_chandolin,St - Luc Chandolin,46.237981,7.614641,3000,anniviers_magic_portfolio,Anniviers Magic Pass portfolio,MVE,Montana,46.298806,7.460814,1423.0,13.621909820772784,1577.0,112,moderate,nearest_current_SwissMetNet_station_with_all_four_daily_parameters_since_2013,regional_weather_station_proxy_only,False,False,METEOSWISS_SMN_STATIONS|METEOSWISS_SMN_INVENTORY|METEOSWISS_SMN_DAILY_SELECTED,"Station weather can differ from the ski area because of elevation, terrain, aspect and local precipitation gradients; use primarily as a regional anomaly proxy."
axalp_brienz,Axalp Brienz,46.712855,8.042511,2000,axalp,Axalp,MER,Meiringen,46.732222,8.169247,589.0,9.897916648837526,1411.0,112,high,nearest_current_SwissMetNet_station_with_all_four_daily_parameters_since_2013,regional_weather_station_proxy_only,False,False,METEOSWISS_SMN_STATIONS|METEOSWISS_SMN_INVENTORY|METEOSWISS_SMN_DAILY_SELECTED,"Station weather can differ from the ski area because of elevation, terrain, aspect and local precipitation gradients; use primarily as a regional anomaly proxy."
bumbach_schangnau,Bumbach - Schangnau,46.806787,7.887497,1365,bumbach,Bumbach,INT,Interlaken,46.672033,7.87045,578.0,15.04018736095897,787.0,112,moderate,nearest_current_SwissMetNet_station_with_all_four_daily_parameters_since_2013,regional_weather_station_proxy_only,False,False,METEOSWISS_SMN_STATIONS|METEOSWISS_SMN_INVENTORY|METEOSWISS_SMN_DAILY_SELECTED,"Station weather can differ from the ski area because of elevation, terrain, aspect and local precipitation gradients; use primarily as a regional anomaly proxy."
crans_montana_crans_montana,Crans - Montana Crans - Montana,46.336084,7.479029,3000,crans_montana,Crans-Montana,MVE,Montana,46.298806,7.460814,1423.0,4.3748107865893004,1577.0,112,high,nearest_current_SwissMetNet_station_with_all_four_daily_parameters_since_2013,regional_weather_station_proxy_only,False,False,METEOSWISS_SMN_STATIONS|METEOSWISS_SMN_INVENTORY|METEOSWISS_SMN_DAILY_SELECTED,"Station weather can differ from the ski area because of elevation, terrain, aspect and local precipitation gradients; use primarily as a regional anomaly proxy."
arolla,Arolla,46.027482,7.469587,3000,espace_dent_blanche,Espace Dent Blanche,EVO,Evolène / Villa,46.112211,7.508631,1825.0,9.891214399636231,1175.0,112,high,nearest_current_SwissMetNet_station_with_all_four_daily_parameters_since_2013,regional_weather_station_proxy_only,False,False,METEOSWISS_SMN_STATIONS|METEOSWISS_SMN_INVENTORY|METEOSWISS_SMN_DAILY_SELECTED,"Station weather can differ from the ski area because of elevation, terrain, aspect and local precipitation gradients; use primarily as a regional anomaly proxy."
evolene,Evolène,46.121738,7.465553,2600,espace_dent_blanche,Espace Dent Blanche,EVO,Evolène / Villa,46.112211,7.508631,1825.0,3.4853103753062857,775.0,112,high,nearest_current_SwissMetNet_station_with_all_four_daily_parameters_since_2013,regional_weather_station_proxy_only,False,False,METEOSWISS_SMN_STATIONS|METEOSWISS_SMN_INVENTORY|METEOSWISS_SMN_DAILY_SELECTED,"Station weather can differ from the ski area because of elevation, terrain, aspect and local precipitation gradients; use primarily as a regional anomaly proxy."
la_forclaz,La Forclaz,46.091229,7.52618,2204,espace_dent_blanche,Espace Dent Blanche,EVO,Evolène / Villa,46.112211,7.508631,1825.0,2.6970427608468084,379.0,112,high,nearest_current_SwissMetNet_station_with_all_four_daily_parameters_since_2013,regional_weather_station_proxy_only,False,False,METEOSWISS_SMN_STATIONS|METEOSWISS_SMN_INVENTORY|METEOSWISS_SMN_DAILY_SELECTED,"Station weather can differ from the ski area because of elevation, terrain, aspect and local precipitation gradients; use primarily as a regional anomaly proxy."
les_pleiades,Les Pléiades,46.495024,6.915979,1397,les_pleiades,Les Pléiades,MLS,Le Moléson,46.546197,7.017753,1974.0,9.644453889312008,577.0,112,high,nearest_current_SwissMetNet_station_with_all_four_daily_parameters_since_2013,regional_weather_station_proxy_only,False,False,METEOSWISS_SMN_STATIONS|METEOSWISS_SMN_INVENTORY|METEOSWISS_SMN_DAILY_SELECTED,"Station weather can differ from the ski area because of elevation, terrain, aspect and local precipitation gradients; use primarily as a regional anomaly proxy."
meiringen_hasliberg,Meiringen - Hasliberg,46.747918,8.230219,2433,meiringen_hasliberg,Meiringen-Hasliberg,MER,Meiringen,46.732222,8.169247,589.0,4.9632422189188485,1844.0,112,high,nearest_current_SwissMetNet_station_with_all_four_daily_parameters_since_2013,regional_weather_station_proxy_only,False,False,METEOSWISS_SMN_STATIONS|METEOSWISS_SMN_INVENTORY|METEOSWISS_SMN_DAILY_SELECTED,"Station weather can differ from the ski area because of elevation, terrain, aspect and local precipitation gradients; use primarily as a regional anomaly proxy."
