station_code,date,snow_depth_observed_days,snow_depth_invalid_negative_days,snow_depth_mean_cm,snow_depth_median_cm,snow_depth_max_cm,days_snow_depth_ge_10cm,days_snow_depth_ge_20cm,days_snow_depth_ge_30cm,modeled_new_snow_observed_days,modeled_new_snow_total_cm,calendar_days,snow_depth_observation_coverage_share,share_observed_days_snow_depth_ge_10cm,share_observed_days_snow_depth_ge_20cm,share_observed_days_snow_depth_ge_30cm,month_snow_proxy_usable,source_id,label,active,lon,lat,elevation,station_type
ADE2,2013-01-01,0,0,NA,NA,NA,0,0,0,0,NA,31,0.0,NA,NA,NA,False,SLF_IMIS_DAILY_SNOW,Engstligenalp,True,7.582633,46.434365,2304,SNOW_FLAT
ADE2,2013-02-01,0,0,NA,NA,NA,0,0,0,0,NA,28,0.0,NA,NA,NA,False,SLF_IMIS_DAILY_SNOW,Engstligenalp,True,7.582633,46.434365,2304,SNOW_FLAT
ADE2,2013-03-01,0,0,NA,NA,NA,0,0,0,0,NA,31,0.0,NA,NA,NA,False,SLF_IMIS_DAILY_SNOW,Engstligenalp,True,7.582633,46.434365,2304,SNOW_FLAT
ADE2,2013-04-01,0,0,NA,NA,NA,0,0,0,0,NA,30,0.0,NA,NA,NA,False,SLF_IMIS_DAILY_SNOW,Engstligenalp,True,7.582633,46.434365,2304,SNOW_FLAT
ADE2,2013-05-01,0,0,NA,NA,NA,0,0,0,0,NA,31,0.0,NA,NA,NA,False,SLF_IMIS_DAILY_SNOW,Engstligenalp,True,7.582633,46.434365,2304,SNOW_FLAT
ADE2,2013-06-01,0,0,NA,NA,NA,0,0,0,0,NA,30,0.0,NA,NA,NA,False,SLF_IMIS_DAILY_SNOW,Engstligenalp,True,7.582633,46.434365,2304,SNOW_FLAT
ADE2,2013-07-01,0,0,NA,NA,NA,0,0,0,0,NA,31,0.0,NA,NA,NA,False,SLF_IMIS_DAILY_SNOW,Engstligenalp,True,7.582633,46.434365,2304,SNOW_FLAT
ADE2,2013-08-01,0,0,NA,NA,NA,0,0,0,0,NA,31,0.0,NA,NA,NA,False,SLF_IMIS_DAILY_SNOW,Engstligenalp,True,7.582633,46.434365,2304,SNOW_FLAT
ADE2,2013-09-01,0,0,NA,NA,NA,0,0,0,0,NA,30,0.0,NA,NA,NA,False,SLF_IMIS_DAILY_SNOW,Engstligenalp,True,7.582633,46.434365,2304,SNOW_FLAT
ADE2,2013-10-01,0,0,NA,NA,NA,0,0,0,0,NA,31,0.0,NA,NA,NA,False,SLF_IMIS_DAILY_SNOW,Engstligenalp,True,7.582633,46.434365,2304,SNOW_FLAT
ADE2,2013-11-01,0,0,NA,NA,NA,0,0,0,0,NA,30,0.0,NA,NA,NA,False,SLF_IMIS_DAILY_SNOW,Engstligenalp,True,7.582633,46.434365,2304,SNOW_FLAT
ADE2,2013-12-01,0,0,NA,NA,NA,0,0,0,0,NA,31,0.0,NA,NA,NA,False,SLF_IMIS_DAILY_SNOW,Engstligenalp,True,7.582633,46.434365,2304,SNOW_FLAT
ADE2,2014-01-01,0,0,NA,NA,NA,0,0,0,0,NA,31,0.0,NA,NA,NA,False,SLF_IMIS_DAILY_SNOW,Engstligenalp,True,7.582633,46.434365,2304,SNOW_FLAT
ADE2,2014-02-01,0,0,NA,NA,NA,0,0,0,0,NA,28,0.0,NA,NA,NA,False,SLF_IMIS_DAILY_SNOW,Engstligenalp,True,7.582633,46.434365,2304,SNOW_FLAT
