destination_unit_id,destination_name,municipality_bfs_id,municipality_name,municipality_weight,weighting_scheme,scope_review_status,eligible_for_reviewed_outcome_panel,causal_exposure_approved,source_ids
crans_montana,Crans-Montana,6253,Crans-Montana,1.0,additive_municipality_total,approved_core_municipality_proxy,True,False,GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2017|MAGIC_PRESS_ARCHIVE
anniviers_magic_portfolio,Anniviers Magic Pass portfolio,6252,Anniviers,1.0,additive_municipality_total,approved_complete_observed_municipal_scope,True,False,ANNIVIERS_SCOPE_OFFICIAL|GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2017
moleson,Moléson,2135,Gruyères,1.0,additive_municipality_total,approved_core_municipality_proxy,True,False,GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2017
villars_gryon_les_diablerets,Villars-Gryon-Les Diablerets,5409,Ollon,1.0,additive_municipality_total,excluded_incomplete_composite_outcome_scope,False,False,VILLARS_GRYON_SCOPE_OFFICIAL|GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2017
villars_gryon_les_diablerets,Villars-Gryon-Les Diablerets,5411,Ormont-Dessus,1.0,additive_municipality_total,excluded_incomplete_composite_outcome_scope,False,False,VILLARS_GRYON_SCOPE_OFFICIAL|GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2017
espace_dent_blanche,Espace Dent Blanche,6083,Evolène,1.0,additive_municipality_total,approved_complete_observed_municipal_scope,True,False,EVOLENE_SCOPE_OFFICIAL|GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2018
les_pleiades,Les Pléiades,5892,Blonay - Saint-Légier,1.0,additive_municipality_total,approved_core_municipality_proxy,True,False,GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2018
saas_fee,Saas-Fee,6290,Saas-Fee,1.0,additive_municipality_total,approved_core_municipality_proxy,True,False,GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2019
axalp,Axalp,573,Brienz (BE),1.0,additive_municipality_total,approved_core_municipality_proxy,True,False,GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2022
reichenbach_magic_portfolio,Reichenbach im Kandertal Magic Pass portfolio,567,Reichenbach im Kandertal,1.0,additive_municipality_total,approved_complete_observed_municipal_scope,True,False,REICHENBACH_SCOPE_OFFICIAL|GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2022|MAGIC_2023
bumbach,Bumbach,906,Schangnau,1.0,additive_municipality_total,approved_core_municipality_proxy,True,False,GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2023
sainte_croix_les_rasses,Sainte-Croix / Les Rasses,5552,Bullet,1.0,additive_municipality_total,excluded_incomplete_composite_outcome_scope,False,False,SAINTE_CROIX_SCOPE_OFFICIAL|GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2023
schwanden,Schwanden,938,Sigriswil,1.0,additive_municipality_total,approved_core_municipality_proxy,True,False,GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2024
gstaad_operator_domain,Bergbahnen Destination Gstaad,843,Saanen,1.0,additive_municipality_total,excluded_incomplete_composite_outcome_scope,False,False,GSTAAD_SCOPE_OFFICIAL|GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2025|MAGIC_PRESS_ARCHIVE
meiringen_hasliberg,Meiringen-Hasliberg,783,Hasliberg,1.0,additive_municipality_total,approved_complete_observed_municipal_scope,True,False,MEIRINGEN_HASLIBERG_SCOPE_OFFICIAL|MEIRINGEN_HASLIBERG_MAGIC_OFFICIAL|MAGIC_2025
meiringen_hasliberg,Meiringen-Hasliberg,785,Meiringen,1.0,additive_municipality_total,approved_complete_observed_municipal_scope,True,False,MEIRINGEN_HASLIBERG_SCOPE_OFFICIAL|MEIRINGEN_HASLIBERG_MAGIC_OFFICIAL|MAGIC_2025
