variable,table,description,unit,data_type,geographic_level,temporal_level,source_id,raw_or_derived,formula,causal_role,missing_share,notes
altitude_max_m,bergfex_stations_ski_suisse_par_region,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_4431c47c859d,existing thesis input,,unclassified,0.0,
lifts_open,bergfex_stations_ski_suisse_par_region,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_4431c47c859d,existing thesis input,,unclassified,0.007380073800738007,
lifts_total,bergfex_stations_ski_suisse_par_region,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_4431c47c859d,existing thesis input,,unclassified,0.007380073800738007,
pistes_km,bergfex_stations_ski_suisse_par_region,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_4431c47c859d,existing thesis input,,unclassified,0.04428044280442804,
price_chf,bergfex_stations_ski_suisse_par_region,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_4431c47c859d,existing thesis input,,unclassified,0.4132841328413284,
price_raw,bergfex_stations_ski_suisse_par_region,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_4431c47c859d,existing thesis input,,unclassified,0.0,
region,bergfex_stations_ski_suisse_par_region,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_4431c47c859d,existing thesis input,,unclassified,0.0,
region_bergfex,bergfex_stations_ski_suisse_par_region,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_4431c47c859d,existing thesis input,,unclassified,0.0,
snow,bergfex_stations_ski_suisse_par_region,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_4431c47c859d,existing thesis input,,unclassified,0.0,
station,bergfex_stations_ski_suisse_par_region,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_4431c47c859d,existing thesis input,,unclassified,0.0,
url_region,bergfex_stations_ski_suisse_par_region,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_4431c47c859d,existing thesis input,,unclassified,0.0,
url_station,bergfex_stations_ski_suisse_par_region,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_4431c47c859d,existing thesis input,,unclassified,0.0,
known_magic_exposure_from_resolved_links,control_contamination_audit,Whether any resort point in the municipality has a resolved historical or current Magic Pass link,boolean,boolean,municipality reached by resort point,historical plus current snapshot,DERIVED_MULTI_SOURCE,derived screen,any linked resort_id appears in a base-entry event or current official-map candidate link,control contamination,0.000000,False is only an upper-bound candidate because unresolved official labels remain
air_temperature_anomaly_c,destination_month_panel,Unweighted mean station-specific temperature anomaly across unique assigned stations,degrees Celsius,float,reviewed destination via station proxy,monthly,METEOSWISS_SMN_DAILY_SELECTED,derived,mean station-month anomaly relative to each station's 2013-2025 same-month analytical normal,time-varying regional weather proxy,0.056277,Not an official climate-normal anomaly
air_temperature_mean_c,destination_month_panel,Unweighted mean monthly temperature across unique assigned SwissMetNet proxy stations,degrees Celsius,float,reviewed destination via station proxy,monthly,METEOSWISS_SMN_DAILY_SELECTED,derived,mean station-month air_temperature_mean_c only when every assigned station month passes the 80% gate,time-varying regional weather proxy,0.056277,Not piste microclimate; missing months are not imputed
assumed_active_component_count,destination_month_panel,Diagnostic count of entered components carried forward until a documented exit,count,integer,reviewed destination,monthly,DERIVED_REVIEWED_DESTINATION_PANEL,derived,cumulative documented component entries with documented exit override,treatment intensity candidate,0.000000,Continuity is an unverified assumption
