resort_id,resort_name_original,resort_name_canonical,url_station,match_method,manual_review,decision
balmberg,Balmberg Balmberg,Balmberg,https://www.bergfex.ch/balmberg/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
hohe_winde_beinwil,Hohe Winde Hohe Winde / Beinwil,Hohe Winde Beinwil,https://www.bergfex.ch/hohe-winde-beinwil/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
bumbach_schangnau,Bumbach Bumbach - Schangnau,Bumbach - Schangnau,https://www.bergfex.ch/bumbach-schangnau/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
chuderhusi,Chuderhüsi Chuderhüsi,Chuderhüsi,https://www.bergfex.ch/chuderhuesi/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
gantrisch_gurnigel,Gantrisch Gantrisch - Gurnigel,Gantrisch - Gurnigel,https://www.bergfex.ch/gantrisch-gurnigel/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
gurten_bern,Gurten Gurten / Bern,Gurten Bern,https://www.bergfex.ch/gurten/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
heimenschwand_buchholterberg,Heimenschwand Heimenschwand / Buchholterberg,Heimenschwand Buchholterberg,https://www.bergfex.ch/heimenschwand-buchholterberg/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
homberg_skilift_dreiligass_winteregg,Homberg Homberg / Skilift Dreiligass-Winteregg,Homberg Skilift Dreiligass - Winteregg,https://www.bergfex.ch/homberg/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
linden_skilift_linden,Linden Skilift Linden,Linden Skilift Linden,https://www.bergfex.ch/skilift-linden/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
ottenleuebad,Ottenleuebad Ottenleuebad,Ottenleuebad,https://www.bergfex.ch/ottenleuebad/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
ruschegg_eywald,Rüschegg Rüschegg - Eywald,Rüschegg - Eywald,https://www.bergfex.ch/rueschegg-eywald/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
schwarzenbuhl_selital,Schwarzenbühl Schwarzenbühl / Selital,Schwarzenbühl Selital,https://www.bergfex.ch/schwarzenbuehl-selital/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
langenbruck,Langenbruck Langenbruck,Langenbruck,https://www.bergfex.ch/langenbruck/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
bulle_la_chia,Bulle Bulle - La Chia,Bulle - La Chia,https://www.bergfex.ch/bulle-lachia/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
charmey,Charmey Charmey,Charmey,https://www.bergfex.ch/charmey/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
hapfere_plaffeien,Hapfere Hapfere / Plaffeien,Hapfere Plaffeien,https://www.bergfex.ch/hapfere-plaffeien/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
jaun_gastlosen,Jaun Jaun Gastlosen,Jaun Gastlosen,https://www.bergfex.ch/jaun/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
la_berra_la_roche,La Berra La Berra - La Roche,La Berra - La Roche,https://www.bergfex.ch/la-berra/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
les_paccots_chatel_saint_denis,Les Paccots Les Paccots - Châtel Saint Denis,Les Paccots - Châtel Saint Denis,https://www.bergfex.ch/les-paccots-chatel-saint-denis/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
moleson_la_gruyere,Moléson Moléson - La Gruyère,Moléson - La Gruyère,https://www.bergfex.ch/moleson-la-gruyere/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
mont_gibloux,Mont Gibloux Mont Gibloux,Mont Gibloux,https://www.bergfex.ch/mont-gibloux/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
rathvel,Rathvel Rathvel,Rathvel,https://www.bergfex.ch/rathvel/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
schwarzsee_kaiseregg_bahnen,Schwarzsee Schwarzsee / Kaiseregg Bahnen,Schwarzsee Kaiseregg Bahnen,https://www.bergfex.ch/schwarzsee/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
aela_maloja,Aela / Maloja Aela / Maloja,Aela Maloja,https://www.bergfex.ch/aela-maloja/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
andermatt_oberalp_sedrun,Andermatt Andermatt - Oberalp - Sedrun,Andermatt - Oberalp - Sedrun,https://www.bergfex.ch/andermatt-oberalp-sedrun/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
arosa_lenzerheide,Arosa Lenzerheide Arosa Lenzerheide,Arosa Lenzerheide,https://www.bergfex.ch/arosa-lenzerheide/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
