Commune,year,annual_nights,municipality_name_source,sum,count,difference_when_complete
Kloten,2013,NA,Kloten,237998,12,NA
Kloten,2014,241506,Kloten,241506,12,0
Kloten,2015,258402,Kloten,258402,12,0
Kloten,2016,264839,Kloten,264839,12,0
Kloten,2017,265994,Kloten,265994,12,0
Kloten,2018,263865,Kloten,263865,12,0
Kloten,2019,266637,Kloten,266637,12,0
Kloten,2020,87892,Kloten,83110,9,NA
Kloten,2021,135607,Kloten,135607,12,0
Kloten,2022,367999,Kloten,367999,12,0
Kloten,2023,464684,Kloten,464684,12,0
Kloten,2024,486772,Kloten,486772,12,0
Kloten,2025,503416,Kloten,503416,12,0
Kloten,2026,NA,Kloten,112066,3,NA
Opfikon,2013,539053,Opfikon,539053,12,0
Opfikon,2014,558077,Opfikon,558077,12,0
Opfikon,2015,688863,Opfikon,688863,12,0
Opfikon,2016,720478,Opfikon,720478,12,0
Opfikon,2017,749186,Opfikon,749186,12,0
Opfikon,2018,773668,Opfikon,773668,12,0
Opfikon,2019,742074,Opfikon,742074,12,0
Opfikon,2020,199904,Opfikon,199904,12,0
Opfikon,2021,255084,Opfikon,255084,12,0
Opfikon,2022,609612,Opfikon,609612,12,0
Opfikon,2023,742327,Opfikon,742327,12,0
Opfikon,2024,800863,Opfikon,800863,12,0
Opfikon,2025,848207,Opfikon,848207,12,0
Opfikon,2026,NA,Opfikon,150587,3,NA
Dübendorf,2013,44662,Dübendorf,44662,12,0
Dübendorf,2014,44883,Dübendorf,44883,12,0
Dübendorf,2015,40540,Dübendorf,40540,12,0
Dübendorf,2016,44760,Dübendorf,44760,12,0
Dübendorf,2017,47014,Dübendorf,47014,12,0
Dübendorf,2018,45473,Dübendorf,45473,12,0
Dübendorf,2019,44181,Dübendorf,44181,12,0
Dübendorf,2020,19165,Dübendorf,19165,12,0
Dübendorf,2021,24825,Dübendorf,24825,12,0
Dübendorf,2022,37532,Dübendorf,37532,12,0
Dübendorf,2023,46349,Dübendorf,46349,12,0
Dübendorf,2024,43093,Dübendorf,43093,12,0
Dübendorf,2025,49995,Dübendorf,49995,12,0
Dübendorf,2026,NA,Dübendorf,11001,3,NA
Uster,2013,32834,Uster,32834,12,0
Uster,2014,33733,Uster,33733,12,0
Uster,2015,32831,Uster,32831,12,0
Uster,2016,27321,Uster,27321,12,0
Uster,2017,33506,Uster,33506,12,0
Uster,2018,38042,Uster,38042,12,0
Uster,2019,36538,Uster,36538,12,0
Uster,2020,19473,Uster,19473,12,0
Uster,2021,26826,Uster,26826,12,0
Uster,2022,37917,Uster,37917,12,0
Uster,2023,45873,Uster,45873,12,0
Uster,2024,46596,Uster,46596,12,0
Uster,2025,42590,Uster,42590,12,0
Uster,2026,NA,Uster,8820,3,NA
Winterthur,2013,184058,Winterthur,184058,12,0
Winterthur,2014,180074,Winterthur,180074,12,0
Winterthur,2015,177904,Winterthur,177904,12,0
Winterthur,2016,196806,Winterthur,196806,12,0
Winterthur,2017,202195,Winterthur,202195,12,0
Winterthur,2018,208020,Winterthur,208020,12,0
Winterthur,2019,216757,Winterthur,216757,12,0
Winterthur,2020,97314,Winterthur,97314,12,0
Winterthur,2021,109726,Winterthur,109726,12,0
Winterthur,2022,165803,Winterthur,165803,12,0
Winterthur,2023,196959,Winterthur,196959,12,0
Winterthur,2024,221329,Winterthur,221329,12,0
Winterthur,2025,224226,Winterthur,224226,12,0
Winterthur,2026,NA,Winterthur,46146,3,NA
Zürich,2013,2830003,Zürich,2830003,12,0
Zürich,2014,2916220,Zürich,2916220,12,0
Zürich,2015,2947756,Zürich,2947756,12,0
Zürich,2016,2956669,Zürich,2956669,12,0
Zürich,2017,3194598,Zürich,3194598,12,0
Zürich,2018,3447702,Zürich,3447702,12,0
Zürich,2019,3626086,Zürich,3626086,12,0
Zürich,2020,1117197,Zürich,1117197,12,0
Zürich,2021,1650531,Zürich,1650531,12,0
Zürich,2022,3284911,Zürich,3284911,12,0
Zürich,2023,3831641,Zürich,3831641,12,0
Zürich,2024,4045928,Zürich,4045928,12,0
Zürich,2025,4179908,Zürich,4179908,12,0
Zürich,2026,NA,Zürich,809217,3,NA
Wädenswil,2013,NA,Wädenswil,0,0,NA
Wädenswil,2014,NA,Wädenswil,0,0,NA
Wädenswil,2015,NA,Wädenswil,0,0,NA
Wädenswil,2016,NA,Wädenswil,0,0,NA
Wädenswil,2017,NA,Wädenswil,0,0,NA
Wädenswil,2018,NA,Wädenswil,0,0,NA
Wädenswil,2019,18702,Wädenswil,18702,12,0
Wädenswil,2020,8126,Wädenswil,7874,10,NA
Wädenswil,2021,13605,Wädenswil,13605,12,0
Wädenswil,2022,12961,Wädenswil,12961,12,0
Wädenswil,2023,12367,Wädenswil,12367,12,0
Wädenswil,2024,15775,Wädenswil,15775,12,0
Wädenswil,2025,7901,Wädenswil,7901,12,0
Wädenswil,2026,NA,Wädenswil,1585,3,NA
Horgen,2013,NA,Horgen,0,0,NA
Horgen,2014,NA,Horgen,0,0,NA
Horgen,2015,NA,Horgen,0,0,NA
Horgen,2016,NA,Horgen,0,0,NA
Horgen,2017,NA,Horgen,0,0,NA
Horgen,2018,51376,Horgen,51376,12,0
Horgen,2019,36444,Horgen,36444,12,0
Horgen,2020,11885,Horgen,11885,12,0
Horgen,2021,10250,Horgen,10250,12,0
Horgen,2022,14161,Horgen,14161,12,0
Horgen,2023,14436,Horgen,14436,12,0
Horgen,2024,29804,Horgen,29804,12,0
Horgen,2025,40931,Horgen,40931,12,0
Horgen,2026,NA,Horgen,7696,3,NA
Langenthal,2013,20159,Langenthal,20159,12,0
Langenthal,2014,19833,Langenthal,19833,12,0
Langenthal,2015,19231,Langenthal,19231,12,0
Langenthal,2016,20765,Langenthal,20765,12,0
Langenthal,2017,22046,Langenthal,22046,12,0
Langenthal,2018,22488,Langenthal,22488,12,0
Langenthal,2019,25366,Langenthal,25366,12,0
Langenthal,2020,17301,Langenthal,17301,12,0
Langenthal,2021,25915,Langenthal,25915,12,0
Langenthal,2022,31944,Langenthal,31944,12,0
Langenthal,2023,34649,Langenthal,34649,12,0
Langenthal,2024,35349,Langenthal,35349,12,0
Langenthal,2025,34794,Langenthal,34794,12,0
Langenthal,2026,NA,Langenthal,7898,3,NA
Bern,2013,711828,Bern,711828,12,0
Bern,2014,719596,Bern,719596,12,0
Bern,2015,715286,Bern,715286,12,0
Bern,2016,717315,Bern,717315,12,0
Bern,2017,753910,Bern,753910,12,0
Bern,2018,833025,Bern,833025,12,0
Bern,2019,829306,Bern,829306,12,0
Bern,2020,356038,Bern,356038,12,0
Bern,2021,511474,Bern,511474,12,0
Bern,2022,820916,Bern,820916,12,0
Bern,2023,1044046,Bern,1044046,12,0
Bern,2024,1100930,Bern,1100930,12,0
Bern,2025,1080646,Bern,1080646,12,0
Bern,2026,NA,Bern,177994,3,NA
Köniz,2013,11632,Köniz,11632,12,0
Köniz,2014,13624,Köniz,13624,12,0
Köniz,2015,11780,Köniz,11780,12,0
Köniz,2016,15117,Köniz,15117,12,0
Köniz,2017,15188,Köniz,15188,12,0
Köniz,2018,16335,Köniz,16335,12,0
Köniz,2019,16364,Köniz,16364,12,0
Köniz,2020,6793,Köniz,6610,10,NA
Köniz,2021,9820,Köniz,9820,12,0
Köniz,2022,17552,Köniz,17552,12,0
Köniz,2023,20437,Köniz,20437,12,0
Köniz,2024,18495,Köniz,18495,12,0
Köniz,2025,18358,Köniz,18358,12,0
Köniz,2026,NA,Köniz,2786,3,NA
Biel/Bienne,2013,96759,Biel/Bienne,96759,12,0
Biel/Bienne,2014,97055,Biel/Bienne,97055,12,0
Biel/Bienne,2015,85889,Biel/Bienne,85889,12,0
Biel/Bienne,2016,87937,Biel/Bienne,87937,12,0
Biel/Bienne,2017,92901,Biel/Bienne,92901,12,0
Biel/Bienne,2018,98957,Biel/Bienne,98957,12,0
Biel/Bienne,2019,100930,Biel/Bienne,100930,12,0
Biel/Bienne,2020,48771,Biel/Bienne,48771,12,0
Biel/Bienne,2021,70864,Biel/Bienne,70864,12,0
Biel/Bienne,2022,87405,Biel/Bienne,87405,12,0
Biel/Bienne,2023,99209,Biel/Bienne,99209,12,0
Biel/Bienne,2024,116323,Biel/Bienne,116323,12,0
Biel/Bienne,2025,125051,Biel/Bienne,125051,12,0
Biel/Bienne,2026,NA,Biel/Bienne,24110,3,NA
Burgdorf,2013,17669,Burgdorf,17669,12,0
Burgdorf,2014,18028,Burgdorf,18028,12,0
Burgdorf,2015,15088,Burgdorf,15088,12,0
Burgdorf,2016,19070,Burgdorf,19070,12,0
Burgdorf,2017,19729,Burgdorf,19729,12,0
Burgdorf,2018,20725,Burgdorf,20725,12,0
Burgdorf,2019,20854,Burgdorf,20854,12,0
Burgdorf,2020,22325,Burgdorf,21753,10,NA
Burgdorf,2021,32404,Burgdorf,32404,12,0
Burgdorf,2022,34196,Burgdorf,34196,12,0
Burgdorf,2023,35164,Burgdorf,35164,12,0
Burgdorf,2024,32345,Burgdorf,32345,12,0
Burgdorf,2025,34882,Burgdorf,34882,12,0
Burgdorf,2026,NA,Burgdorf,4796,3,NA
Adelboden,2013,182605,Adelboden,182605,12,0
Adelboden,2014,184542,Adelboden,184542,12,0
Adelboden,2015,173966,Adelboden,173966,12,0
Adelboden,2016,174625,Adelboden,174625,12,0
Adelboden,2017,192736,Adelboden,192736,12,0
Adelboden,2018,200763,Adelboden,200763,12,0
Adelboden,2019,205975,Adelboden,205975,12,0
Adelboden,2020,180612,Adelboden,180612,12,0
Adelboden,2021,192155,Adelboden,192155,12,0
Adelboden,2022,202890,Adelboden,202890,12,0
Adelboden,2023,220370,Adelboden,220370,12,0
Adelboden,2024,203384,Adelboden,203384,12,0
Adelboden,2025,210465,Adelboden,210465,12,0
Adelboden,2026,NA,Adelboden,67478,3,NA
Aeschi bei Spiez,2013,41081,Aeschi bei Spiez,41081,12,0
Aeschi bei Spiez,2014,39026,Aeschi bei Spiez,39026,12,0
Aeschi bei Spiez,2015,31468,Aeschi bei Spiez,31468,12,0
Aeschi bei Spiez,2016,29379,Aeschi bei Spiez,29379,12,0
Aeschi bei Spiez,2017,29635,Aeschi bei Spiez,29635,12,0
Aeschi bei Spiez,2018,33486,Aeschi bei Spiez,33486,12,0
Aeschi bei Spiez,2019,29542,Aeschi bei Spiez,29542,12,0
Aeschi bei Spiez,2020,15051,Aeschi bei Spiez,15051,12,0
Aeschi bei Spiez,2021,18821,Aeschi bei Spiez,18821,12,0
Aeschi bei Spiez,2022,18911,Aeschi bei Spiez,18911,12,0
Aeschi bei Spiez,2023,27978,Aeschi bei Spiez,27978,12,0
Aeschi bei Spiez,2024,24732,Aeschi bei Spiez,24732,12,0
Aeschi bei Spiez,2025,30608,Aeschi bei Spiez,30608,12,0
Aeschi bei Spiez,2026,NA,Aeschi bei Spiez,2789,3,NA
Kandersteg,2013,102010,Kandersteg,102010,12,0
Kandersteg,2014,96699,Kandersteg,96699,12,0
Kandersteg,2015,91960,Kandersteg,91960,12,0
Kandersteg,2016,87109,Kandersteg,87109,12,0
Kandersteg,2017,92157,Kandersteg,92157,12,0
Kandersteg,2018,99225,Kandersteg,99225,12,0
Kandersteg,2019,101453,Kandersteg,101453,12,0
Kandersteg,2020,92595,Kandersteg,92595,12,0
Kandersteg,2021,106773,Kandersteg,106773,12,0
Kandersteg,2022,118202,Kandersteg,118202,12,0
Kandersteg,2023,122335,Kandersteg,122335,12,0
Kandersteg,2024,125652,Kandersteg,125652,12,0
Kandersteg,2025,121421,Kandersteg,121421,12,0
Kandersteg,2026,NA,Kandersteg,22764,3,NA
Reichenbach im Kandertal,2013,26495,Reichenbach im Kandertal,26495,12,0
Reichenbach im Kandertal,2014,27015,Reichenbach im Kandertal,27015,12,0
Reichenbach im Kandertal,2015,29119,Reichenbach im Kandertal,29119,12,0
Reichenbach im Kandertal,2016,27178,Reichenbach im Kandertal,27178,12,0
Reichenbach im Kandertal,2017,30144,Reichenbach im Kandertal,30144,12,0
Reichenbach im Kandertal,2018,34438,Reichenbach im Kandertal,34438,12,0
Reichenbach im Kandertal,2019,32319,Reichenbach im Kandertal,32319,12,0
Reichenbach im Kandertal,2020,27710,Reichenbach im Kandertal,26842,10,NA
Reichenbach im Kandertal,2021,33485,Reichenbach im Kandertal,33485,12,0
Reichenbach im Kandertal,2022,42060,Reichenbach im Kandertal,42060,12,0
Reichenbach im Kandertal,2023,38423,Reichenbach im Kandertal,38423,12,0
Reichenbach im Kandertal,2024,39238,Reichenbach im Kandertal,39238,12,0
Reichenbach im Kandertal,2025,36057,Reichenbach im Kandertal,36057,12,0
Reichenbach im Kandertal,2026,NA,Reichenbach im Kandertal,6500,3,NA
Beatenberg,2013,96072,Beatenberg,96072,12,0
Beatenberg,2014,104622,Beatenberg,104622,12,0
Beatenberg,2015,117082,Beatenberg,117082,12,0
Beatenberg,2016,120656,Beatenberg,120656,12,0
Beatenberg,2017,130640,Beatenberg,130640,12,0
Beatenberg,2018,134196,Beatenberg,134196,12,0
Beatenberg,2019,134992,Beatenberg,134992,12,0
Beatenberg,2020,84170,Beatenberg,84170,12,0
Beatenberg,2021,99645,Beatenberg,99645,12,0
Beatenberg,2022,136384,Beatenberg,136384,12,0
Beatenberg,2023,141394,Beatenberg,141394,12,0
Beatenberg,2024,142409,Beatenberg,142409,12,0
Beatenberg,2025,123488,Beatenberg,123488,12,0
Beatenberg,2026,NA,Beatenberg,19004,3,NA
Brienz (BE),2013,71230,Brienz (BE),71230,12,0
Brienz (BE),2014,69596,Brienz (BE),69596,12,0
Brienz (BE),2015,75512,Brienz (BE),75512,12,0
Brienz (BE),2016,70864,Brienz (BE),70864,12,0
Brienz (BE),2017,77770,Brienz (BE),77770,12,0
Brienz (BE),2018,82515,Brienz (BE),82515,12,0
Brienz (BE),2019,80265,Brienz (BE),80265,12,0
Brienz (BE),2020,68815,Brienz (BE),68815,12,0
Brienz (BE),2021,85784,Brienz (BE),85784,12,0
Brienz (BE),2022,94942,Brienz (BE),94942,12,0
Brienz (BE),2023,112778,Brienz (BE),112778,12,0
Brienz (BE),2024,116470,Brienz (BE),116470,12,0
Brienz (BE),2025,114423,Brienz (BE),114423,12,0
Brienz (BE),2026,NA,Brienz (BE),12984,3,NA
Grindelwald,2013,513984,Grindelwald,513984,12,0
Grindelwald,2014,518853,Grindelwald,518853,12,0
Grindelwald,2015,539558,Grindelwald,539558,12,0
Grindelwald,2016,516723,Grindelwald,516723,12,0
Grindelwald,2017,570542,Grindelwald,570542,12,0
Grindelwald,2018,609457,Grindelwald,609457,12,0
Grindelwald,2019,657603,Grindelwald,657603,12,0
Grindelwald,2020,404389,Grindelwald,404389,12,0
Grindelwald,2021,481566,Grindelwald,481566,12,0
Grindelwald,2022,709503,Grindelwald,709503,12,0
Grindelwald,2023,830170,Grindelwald,830170,12,0
Grindelwald,2024,826466,Grindelwald,826466,12,0
Grindelwald,2025,762611,Grindelwald,762611,12,0
Grindelwald,2026,NA,Grindelwald,174064,3,NA
Interlaken,2013,697584,Interlaken,697584,12,0
Interlaken,2014,704823,Interlaken,704823,12,0
Interlaken,2015,710116,Interlaken,710116,12,0
Interlaken,2016,704320,Interlaken,704320,12,0
Interlaken,2017,791244,Interlaken,791244,12,0
Interlaken,2018,791924,Interlaken,791924,12,0
Interlaken,2019,781007,Interlaken,781007,12,0
Interlaken,2020,309615,Interlaken,309615,12,0
Interlaken,2021,374682,Interlaken,374682,12,0
Interlaken,2022,657435,Interlaken,657435,12,0
Interlaken,2023,804544,Interlaken,804544,12,0
Interlaken,2024,867786,Interlaken,867786,12,0
Interlaken,2025,882850,Interlaken,882850,12,0
Interlaken,2026,NA,Interlaken,140864,3,NA
Lauterbrunnen,2013,448969,Lauterbrunnen,448969,12,0
Lauterbrunnen,2014,448642,Lauterbrunnen,448642,12,0
Lauterbrunnen,2015,447136,Lauterbrunnen,447136,12,0
Lauterbrunnen,2016,434178,Lauterbrunnen,434178,12,0
Lauterbrunnen,2017,507181,Lauterbrunnen,507181,12,0
Lauterbrunnen,2018,543003,Lauterbrunnen,543003,12,0
Lauterbrunnen,2019,548751,Lauterbrunnen,548751,12,0
Lauterbrunnen,2020,303786,Lauterbrunnen,303786,12,0
Lauterbrunnen,2021,259940,Lauterbrunnen,259940,12,0
Lauterbrunnen,2022,473170,Lauterbrunnen,473170,12,0
Lauterbrunnen,2023,498608,Lauterbrunnen,498608,12,0
Lauterbrunnen,2024,500405,Lauterbrunnen,500405,12,0
Lauterbrunnen,2025,560149,Lauterbrunnen,560149,12,0
Lauterbrunnen,2026,NA,Lauterbrunnen,141098,3,NA
Matten bei Interlaken,2013,59997,Matten bei Interlaken,59997,12,0
