municipality_bfs_id,municipality_name,resort_listing_count,known_magic_resort_listing_count,known_magic_exposure_from_resolved_links,candidate_control_upper_bound,unresolved_membership_contamination_cleared,spillover_contamination_cleared,time_varying_confounders_available,causal_control_approved,control_blocker
355,Köniz,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
561,Adelboden,2,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
562,Aeschi bei Spiez,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
567,Reichenbach im Kandertal,2,2,True,False,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
571,Beatenberg,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
573,Brienz (BE),1,1,True,False,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
576,Grindelwald,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
584,Lauterbrunnen,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
762,Diemtigen,3,3,True,False,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
783,Hasliberg,1,1,True,False,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
784,Innertkirchen,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
792,Lenk,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
843,Saanen,1,1,True,False,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
906,Schangnau,1,1,True,False,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
938,Sigriswil,1,1,True,False,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
1202,Andermatt,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
1301,Einsiedeln,3,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
1331,Küssnacht (SZ),1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
1366,Morschach,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
1372,Schwyz,2,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
