file_name,dataset_description,n_rows,n_columns,temporal_start,temporal_end,n_resorts,n_municipalities,geographic_level,potential_join_keys,important_variables,missingness_summary,known_source,quality_notes,recommended_use
data_raw/bahnen-winter_2056.gpkg,transport_winter_2056,1805,5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,requires verification,fid,fid|geom|name|tlm_uuid|type,"{""name"": 379, ""tlm_uuid"": 363}",LOCAL_0f53d91bbb86,Exact duplicate rows: 0; literal source tokens retained,audit before analytical use
data_raw/bergfex_stations_ski_suisse_par_region.csv,bergfex_stations_ski_suisse_par_region,271,12,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,requires verification,url_station,region|region_bergfex|url_region|station|altitude_max_m|pistes_km|lifts_open|lifts_total|snow|price_raw|price_chf|url_station,"{""pistes_km"": 12, ""lifts_open"": 2, ""lifts_total"": 2, ""price_chf"": 112}",LOCAL_4431c47c859d,Exact duplicate rows: 0; literal source tokens retained,audit before analytical use
data_raw/carte_communes_nuitees_croisees_provisoir_avec_stations_gps_bergfex.html,Existing HTML research map,UNKNOWN,UNKNOWN,,,,,,,,,LOCAL_430fe06a9598,Non-tabular original retained; embedded evidence requires separate extraction,inspect provenance and embedded map data
data_raw/carte_stations_ski_clusters_assignations_gps_bergfex.html,Existing HTML research map,UNKNOWN,UNKNOWN,,,,,,,,,LOCAL_9960a7d400b5,Non-tabular original retained; embedded evidence requires separate extraction,inspect provenance and embedded map data
data_raw/nuitée_commune_final.csv,nuitée_commune_final,33852,149,2013,2026,UNKNOWN,186,municipality label,Année|Mois|Commune,"Année|Mois|Commune|Pays de provenance - total Arrivées|Pays de provenance - total Nuitées|Suisse Arrivées|Suisse Nuitées|Allemagne Arrivées|Allemagne Nuitées|France Arrivées|France Nuitées|Italie Arrivées|Italie Nuitées|Autriche Arrivées|Autriche Nuitées|Royaume-Uni Arrivées|Royaume-Uni Nuitées|Irlande Arrivées|Irlande Nuitées|Pays-Bas Arrivées|Pays-Bas Nuitées|Belgique Arrivées|Belgique Nuitées|Luxembourg Arrivées|Luxembourg Nuitées|Danemark Arrivées|Danemark Nuitées|Suède Arrivées|Suède Nuitées|Norvège Arrivées|Norvège Nuitées|Finlande Arrivées|Finlande Nuitées|Espagne Arrivées|Espagne Nuitées|Portugal Arrivées|Portugal Nuitées|Grèce Arrivées|Grèce Nuitées|Turquie Arrivées|Turquie Nuitées|Autres Europe Arrivées|Autres Europe Nuitées|Liechtenstein Arrivées|Liechtenstein Nuitées|Islande Arrivées|Islande Nuitées|Pologne Arrivées|Pologne Nuitées|Hongrie Arrivées|Hongrie Nuitées|Bélarus Arrivées|Bélarus Nuitées|Bulgarie Arrivées|Bulgarie Nuitées|Malte Arrivées|Malte Nuitées|Chypre Arrivées|Chypre Nuitées|Chili Arrivées|Chili Nuitées|États-Unis Arrivées|États-Unis Nuitées|Canada Arrivées|Canada Nuitées|Mexique Arrivées|Mexique Nuitées|Brésil Arrivées|Brésil Nuitées|Argentine Arrivées|Argentine Nuitées|Autres Amérique du Sud Arrivées|Autres Amérique du Sud Nuitées|Autres Amérique centrale, Caraïbes Arrivées|Autres Amérique centrale, Caraïbes Nuitées|Égypte Arrivées|Égypte Nuitées|Autres Afrique du Nord Arrivées|Autres Afrique du Nord Nuitées|Afrique du Sud Arrivées|Afrique du Sud Nuitées|Autres Afrique Arrivées|Autres Afrique Nuitées|Bahreïn Arrivées|Bahreïn Nuitées|Israël Arrivées|Israël Nuitées|Inde Arrivées|Inde Nuitées|Japon Arrivées|Japon Nuitées|Autres Asie de l'Est Arrivées|Autres Asie de l'Est Nuitées|Qatar Arrivées|Qatar Nuitées|Koweït Arrivées|Koweït Nuitées|Australie Arrivées|Australie Nuitées|Chine Arrivées|Chine Nuitées|Hong Kong Arrivées|Hong Kong Nuitées|Indonésie Arrivées|Indonésie Nuitées|Corée (Sud) Arrivées|Corée (Sud) Nuitées|Malaisie Arrivées|Malaisie Nuitées|Philippines Arrivées|Philippines Nuitées|Nouvelle Zélande, Océanie Arrivées|Nouvelle Zélande, Océanie Nuitées|Singapour Arrivées|Singapour Nuitées|Oman Arrivées|Oman Nuitées|Taïwan (Taipei chinois) Arrivées|Taïwan (Taipei chinois) Nuitées|Thaïlande Arrivées|Thaïlande Nuitées|Autres Asie de l'Ouest Arrivées|Autres Asie de l'Ouest Nuitées|Estonie Arrivées|Estonie Nuitées|Lettonie Arrivées|Lettonie Nuitées|Lituanie Arrivées|Lituanie Nuitées|Arabie saoudite Arrivées|Arabie saoudite Nuitées|Émirats arabes unis Arrivées|Émirats arabes unis Nuitées|Croatie Arrivées|Croatie Nuitées|Roumanie Arrivées|Roumanie Nuitées|Russie Arrivées|Russie Nuitées|Slovaquie Arrivées|Slovaquie Nuitées|Slovénie Arrivées|Slovénie Nuitées|Tchéquie Arrivées|Tchéquie Nuitées|Ukraine Arrivées|Ukraine Nuitées|Serbie Arrivées|Serbie Nuitées",{},LOCAL_5c587073db3b,Exact duplicate rows: 0; literal source tokens retained,audit before analytical use
data_raw/position_gps_stations_ski.csv,position_gps_stations_ski,271,5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,requires verification,,station|latitude|longitude|position_trouvee|certitude,{},LOCAL_afb2b0d65a48,Exact duplicate rows: 0; literal source tokens retained,audit before analytical use
data_raw/stations_ski_assignations_clusters_gps_bergfex.csv,stations_ski_assignations_clusters_gps_bergfex,271,25,UNKNOWN,UNKNOWN,271,UNKNOWN,requires verification,ski_id|cluster_id|url_station,ski_id|ski_name|commune|region|region_bergfex|lat|lon|cluster_id|cluster_display_name|distance_m|second_cluster_id|second_distance_m|name_match_score|second_name_match_score|expected_lifts_total|cluster_lift_count|assignment_quality|assignment_uncertain|assignment_uncertainty_reasons|assignment_review_reasons|assignment_warning_reasons|assignment_info_flags|geocode_status|needs_manual_check|url_station,"{""commune"": 271, ""expected_lifts_total"": 2, ""assignment_uncertainty_reasons"": 257, ""assignment_review_reasons"": 264, ""assignment_warning_reasons"": 259, ""assignment_info_flags"": 67}",LOCAL_03b4345dbe87,Exact duplicate rows: 0; literal source tokens retained,audit before analytical use
data_raw/stations_ski_clusters_calibration_seuils_gps_bergfex.csv,stations_ski_clusters_calibration_seuils_gps_bergfex,4,12,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,requires verification,,threshold_m|score|cluster_count|named_cluster_count|unnamed_cluster_count|many_name_cluster_count|cluster_confident_count|cluster_warning_count|cluster_review_count|assignment_confident_count|assignment_warning_count|assignment_review_count,{},LOCAL_14a174ea6a94,Exact duplicate rows: 0; literal source tokens retained,audit before analytical use
data_raw/stations_ski_clusters_gps_bergfex.geojson,stations_ski_clusters_gps_bergfex,242,31,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,requires verification,cluster_id,cluster_id|display_name|station_names|station_count|lift_count|lift_fids|lift_names_sample|lift_types|cluster_distance_threshold_m|centroid_lat|centroid_lon|bbox_diag_m|nearest_cluster_m|nearest_cluster_id|naming_status|expected_lifts_total|quality_label|cluster_quality|cluster_uncertain|cluster_review_reasons|cluster_warning_reasons|cluster_info_flags|cluster_uncertainty_reasons|assignment_quality|assignment_uncertain|assignment_uncertain_count|assignment_warning_count|assignment_review_count|map_quality|max_assignment_distance_m|assignments,"{""nearest_cluster_m"": 62, ""nearest_cluster_id"": 62, ""expected_lifts_total"": 81, ""max_assignment_distance_m"": 80}",LOCAL_5f838870add4,Exact duplicate rows: 0; literal source tokens retained,audit before analytical use
data_raw/stations_ski_clusters_resume_gps_bergfex.csv,stations_ski_clusters_resume_gps_bergfex,242,24,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,requires verification,cluster_id,cluster_id|display_name|cluster_quality|assignment_quality|map_quality|naming_status|station_count|station_names|lift_count|expected_lifts_total|cluster_uncertain|cluster_uncertainty_reasons|cluster_review_reasons|cluster_warning_reasons|cluster_info_flags|assignment_uncertain|assignment_uncertain_count|assignment_warning_count|assignment_review_count|max_assignment_distance_m|nearest_cluster_id|nearest_cluster_m|bbox_diag_m|cluster_distance_threshold_m,"{""station_names"": 80, ""expected_lifts_total"": 81, ""cluster_uncertainty_reasons"": 197, ""cluster_review_reasons"": 242, ""cluster_warning_reasons"": 197, ""cluster_info_flags"": 27, ""max_assignment_distance_m"": 80, ""nearest_cluster_id"": 62, ""nearest_cluster_m"": 62}",LOCAL_f3dccaa5c1ef,Exact duplicate rows: 0; literal source tokens retained,audit before analytical use
