metric,value
resort_listings_total,271
lift_clusters_total,242
lift_clusters_linked_to_resort_listings,162
independent_resort_domains_validated,0
official_current_magic_destinations_snapshot,95
official_current_destinations_candidate_linked,68
documented_base_entry_events,88
candidate_linked_base_entry_events,62
candidate_linked_base_entries_with_hotel_outcome,18
provisional_treated_clusters_with_hotel_outcome,17
provisional_treated_municipalities_with_hotel_outcome,14
treated_with_exact_entry_date,0
treated_with_season_only_and_24_months_pre,16
treated_with_season_only_and_36_months_pre,16
treated_with_season_only_and_24_months_post_potential,15
treated_with_season_only_and_36_months_post_potential,12
unique_provisional_treatment_anchors,7
hotel_municipalities_total,186
hotel_municipalities_reached_by_resort_point,74
naive_non_treated_control_municipalities_upper_bound,60
approved_usable_controls,0
hotel_observed_start,2013-01-01
hotel_observed_end,2026-03-01
hotel_observed_month_rows,28455
causal_treatment_units_approved,0
