municipality_name_source,n_monthly_rows,n_observed_overnights,first_grid_month,last_grid_month,first_observed_month,last_observed_month
Aarau,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Adelboden,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Aeschi bei Spiez,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Altstätten,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Amden,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Andermatt,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Anniviers,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Appenzell,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Arbon,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Arosa,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Ascona,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Bad Ragaz,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Baden,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Basel,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Beatenberg,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Beckenried,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Bellinzona,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Bern,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Biel/Bienne,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Blonay - Saint-Légier,168,51,2013-01-01,2026-12-01,2022-01-01,2026-03-01
Bourg-en-Lavaux,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Bregaglia,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Breil/Brigels,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Brienz (BE),168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Brig-Glis,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Buchs (SG),168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Bulle,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Bullet,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Burgdorf,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Celerina/Schlarigna,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Champéry,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Chiasso,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Chur,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Château-d'Oex,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Clos du Doubs,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Collina d'Oro,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Crans-Montana,168,111,2013-01-01,2026-12-01,2017-01-01,2026-03-01
Davos,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Delémont,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Diemtigen,168,158,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Dübendorf,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Egerkingen,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Einsiedeln,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Emmen,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Emmetten,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Engelberg,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Eschenbach (SG),168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Evolène,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Feusisberg,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Flims,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Flums,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Frauenfeld,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Freienbach,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Fribourg,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Gais,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Genève,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Glarus Nord,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Glarus Süd,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
