event_id,source_id,source_resort_name,event_type,entry_season,candidate_resort_id,resort_name_canonical,cluster_id,entity_resolution_method,entity_resolution_status,entity_resolution_confidence,point_municipality_bfs_id,point_municipality_name,bfs_hotel_municipality_name,bfs_hotel_universe,treatment_ready,treatment_blocker
MAGIC_EVENT_473325b425bc,MAGIC_2017,Anzère,base_pass_entry,2017/2018,anzere,Anzère,SKI_CLUSTER_020,unique_normalised_label,candidate_match_scope_pending,medium,6082,Ayent,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_8f27d400ec6d,MAGIC_2017,Charmey,base_pass_entry,2017/2018,charmey,Charmey,SKI_CLUSTER_091,unique_normalised_label,candidate_match_scope_pending,medium,2163,Val-de-Charmey,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_4b7d19ebb1a4,MAGIC_2017,Château-d'Oex,base_pass_entry,2017/2018,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_75f74c14a850,MAGIC_2017,Crans-Montana,base_pass_entry,2017/2018,crans_montana_crans_montana,Crans - Montana Crans - Montana,SKI_CLUSTER_020,reviewed_alias,candidate_match_scope_pending,medium,6253,Crans-Montana,Crans-Montana,True,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_0ac41061a20c,MAGIC_2017,Crêt-du-Puy,base_pass_entry,2017/2018,le_paquier_cret_du_puy,Le Pâquier Crêt - du - Puy,SKI_CLUSTER_042,reviewed_alias,candidate_match_scope_pending,medium,6487,Val-de-Ruz,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_a4524acb26d7,MAGIC_2017,Glacier 3000,paid_supplement,2017/2018,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_3a560eaae2a2,MAGIC_2017,Grimentz-Zinal,base_pass_entry,2017/2018,grimentz_zinal_grimentz_zinal,Grimentz/Zinal Grimentz - Zinal,SKI_CLUSTER_028,reviewed_alias,candidate_match_scope_pending,medium,6252,Anniviers,Anniviers,True,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_f108b4eda63e,MAGIC_2017,Jaun,base_pass_entry,2017/2018,jaun_gastlosen,Jaun Gastlosen,SKI_CLUSTER_092,reviewed_alias,candidate_match_scope_pending,medium,2138,Jaun,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_8091a175053c,MAGIC_2017,La Berra,base_pass_entry,2017/2018,la_berra_la_roche,La Berra - La Roche,SKI_CLUSTER_069,reviewed_alias,candidate_match_scope_pending,medium,2149,La Roche,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_1a5fd29b268f,MAGIC_2017,La Lécherette,base_pass_entry,2017/2018,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_a5e82fa85a2e,MAGIC_2017,Les Bugnenets-Savagnières,base_pass_entry,2017/2018,les_bugnenets_savagnieres,Les Bugnenets - Savagnières,SKI_CLUSTER_042,reviewed_alias,candidate_match_scope_pending,medium,443,Saint-Imier,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_7a15946fa16d,MAGIC_2017,Les Diablerets,base_pass_entry,2017/2018,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_3a25c20a1c82,MAGIC_2017,Les Marécottes,base_pass_entry,2017/2018,les_marecottes,Les Marécottes,SKI_CLUSTER_103,unique_normalised_label,candidate_match_scope_pending,medium,6218,Salvan,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_ffcbfc0dc884,MAGIC_2017,Les Mosses,base_pass_entry,2017/2018,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_2e2efd45030d,MAGIC_2017,Les Paccots,base_pass_entry,2017/2018,les_paccots_chatel_saint_denis,Les Paccots - Châtel Saint Denis,SKI_CLUSTER_023,reviewed_alias,candidate_match_scope_pending,medium,2325,Châtel-Saint-Denis,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_6682d8e383d4,MAGIC_2017,Leysin,base_pass_entry,2017/2018,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_98c0c64310c6,MAGIC_2017,Mayens de Conthey,base_pass_entry,2017/2018,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_48cf85b2c432,MAGIC_2017,Moléson,base_pass_entry,2017/2018,moleson_la_gruyere,Moléson - La Gruyère,SKI_CLUSTER_023,reviewed_alias,candidate_match_scope_pending,medium,2135,Gruyères,Gruyères,True,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_8761ddafe11a,MAGIC_2017,Nax,base_pass_entry,2017/2018,mont_noble_nax,Mont - Noble Nax,SKI_CLUSTER_071,reviewed_alias,candidate_match_scope_pending,medium,6090,Mont-Noble,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_5297293fadcf,MAGIC_2017,Ovronnaz,base_pass_entry,2017/2018,ovronnaz,Ovronnaz,SKI_CLUSTER_057,unique_normalised_label,candidate_match_scope_pending,medium,6135,Leytron,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_7fc038b727c8,MAGIC_2017,Rathvel,base_pass_entry,2017/2018,rathvel,Rathvel,SKI_CLUSTER_023,unique_normalised_label,candidate_match_scope_pending,medium,2325,Châtel-Saint-Denis,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_73d6c9593af8,MAGIC_2017,Schwarzsee,base_pass_entry,2017/2018,schwarzsee_kaiseregg_bahnen,Schwarzsee Kaiseregg Bahnen,SKI_CLUSTER_093,reviewed_alias,candidate_match_scope_pending,medium,2138,Jaun,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_fe4b42317a8c,MAGIC_2017,St-Luc / Chandolin,base_pass_entry,2017/2018,st_luc_chandolin,St - Luc Chandolin,SKI_CLUSTER_036,reviewed_alias,candidate_match_scope_pending,medium,6252,Anniviers,Anniviers,True,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_28d987aff8d9,MAGIC_2017,Tramelan,base_pass_entry,2017/2018,tramelan,Tramelan,SKI_CLUSTER_128,unique_normalised_label,candidate_match_scope_pending,medium,437,Mont-Tramelan,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_0f3c7c202f69,MAGIC_2017,Vercorin,base_pass_entry,2017/2018,vercorin,Vercorin,SKI_CLUSTER_052,unique_normalised_label,candidate_match_scope_pending,medium,6232,Chalais,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_ad542a431b3b,MAGIC_2017,Villars-Gryon,base_pass_entry,2017/2018,villars_gryon_villars_gryon_les_diablerets,Villars - Gryon Villars - Gryon - Les Diablerets,SKI_CLUSTER_008,reviewed_alias,candidate_match_scope_pending,medium,5409,Ollon,Ollon,True,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_88d598a65c98,MAGIC_2018,Arolla,base_pass_entry,2018/2019,arolla,Arolla,SKI_CLUSTER_070,unique_normalised_label,candidate_match_scope_pending,medium,6083,Evolène,Evolène,True,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_4355dae12496,MAGIC_2018,Evolène,base_pass_entry,2018/2019,evolene,Evolène,SKI_CLUSTER_106,unique_normalised_label,candidate_match_scope_pending,medium,6083,Evolène,Evolène,True,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_8c8a9214819c,MAGIC_2018,L'Abbaye,base_pass_entry,2018/2019,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_557da5465c53,MAGIC_2018,L'Orient,base_pass_entry,2018/2019,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_9030394c7d33,MAGIC_2018,La Forclaz,base_pass_entry,2018/2019,la_forclaz,La Forclaz,SKI_CLUSTER_134,unique_normalised_label,candidate_match_scope_pending,medium,6083,Evolène,Evolène,True,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_1a52914e9910,MAGIC_2018,Le Brassus,base_pass_entry,2018/2019,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_c93b34a1b0b7,MAGIC_2018,Les Pléiades,base_pass_entry,2018/2019,les_pleiades,Les Pléiades,SKI_CLUSTER_023,unique_normalised_label,candidate_match_scope_pending,medium,5892,Blonay - Saint-Légier,Blonay - Saint-Légier,True,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_c85d5720a416,MAGIC_2018,Les Rochers de Naye,base_pass_entry,2018/2019,rochers_de_naye_haut_de_caux_dent_de_jaman,Rochers de Naye - Haut de Caux - Dent de Jaman,SKI_CLUSTER_089,reviewed_alias,candidate_match_scope_pending,medium,5891,Veytaux,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_f8466b67d968,MAGIC_2019,Les Prés-d'Orvin,base_pass_entry,2019/2020,pres_d_orvin_les_pres_d_orvin,Prés - d'Orvin Les Prés - d'Orvin,SKI_CLUSTER_130,reviewed_alias,candidate_match_scope_pending,medium,438,Orvin,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_16df592d6264,MAGIC_2019,Leukerbad,base_pass_entry,2019/2020,leukerbad,Leukerbad,SKI_CLUSTER_045,unique_normalised_label,candidate_match_scope_pending,medium,6102,Albinen,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_32f5ba9b74bf,MAGIC_2019,Saas-Fee,base_pass_entry,2019/2020,saas_fee,Saas - Fee,SKI_CLUSTER_015,unique_normalised_label,candidate_match_scope_pending,medium,6290,Saas-Fee,Saas-Fee,True,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_a93726b62aa2,MAGIC_PRESS_ARCHIVE,Crans-Montana,base_pass_exit,,crans_montana_crans_montana,Crans - Montana Crans - Montana,SKI_CLUSTER_020,reviewed_alias,candidate_match_scope_pending,medium,6253,Crans-Montana,Crans-Montana,True,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_99fa13e1d272,MAGIC_2020,La Robella,base_pass_entry,2020/2021,la_robella,La Robella,SKI_CLUSTER_102,reviewed_alias,candidate_match_scope_pending,medium,6512,Val-de-Travers,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_5b58cac48472,MAGIC_PRESS_ARCHIVE,Glacier 3000,included_winter_offer,2021/2022,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_7169bc06b4bd,MAGIC_2022,Aeschiallmend,base_pass_entry,2022/2023,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_deea30b9cedc,MAGIC_2022,Axalp,base_pass_entry,2022/2023,axalp_brienz,Axalp Brienz,SKI_CLUSTER_095,reviewed_alias,candidate_match_scope_pending,medium,573,Brienz (BE),Brienz (BE),True,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
