cluster_id,display_name,cluster_quality,assignment_quality,map_quality,naming_status,station_count,station_names,lift_count,expected_lifts_total,cluster_uncertain,cluster_uncertainty_reasons,cluster_review_reasons,cluster_warning_reasons,cluster_info_flags,assignment_uncertain,assignment_uncertain_count,assignment_warning_count,assignment_review_count,max_assignment_distance_m,nearest_cluster_id,nearest_cluster_m,bbox_diag_m,cluster_distance_threshold_m
SKI_CLUSTER_001,Avoriaz 1800 Portes du Soleil / Châtel Portes du Soleil / Chapelle Abondance La Chapelle d'Abondance / Portes du Soleil +2,warning,confident,warning,multiple_names,5,Avoriaz 1800 Portes du Soleil | Châtel Portes du Soleil | Chapelle Abondance La Chapelle d'Abondance / Portes du Soleil | Torgon Portes du Soleil | Champéry - Les Crosets - Champoussin - Morgins Portes du Soleil,115,150.0,True,many_station_names_on_large_domain,,many_station_names_on_large_domain,large_spatial_extent|cluster_lift_count_supported_by_bergfex,False,0,0,0,186.2,SKI_CLUSTER_127,5869.5,21981.9,3000.0
SKI_CLUSTER_002,Veysonnaz 4 Vallées / Verbier 4 Vallées / La Tzoumaz - Mayens de Riddes +3,warning,confident,warning,multiple_names,6,Veysonnaz 4 Vallées | Verbier 4 Vallées | La Tzoumaz - Mayens de Riddes | Thyon 4 Vallées | Bruson - Verbier | Nendaz 4 Vallées,62,332.0,True,very_large_multi_station_domain|cluster_lift_count_below_bergfex_total|many_station_names_on_large_domain,,very_large_multi_station_domain|cluster_lift_count_below_bergfex_total|many_station_names_on_large_domain,close_to_unnamed_cluster,False,0,0,0,428.9,SKI_CLUSTER_171,3181.4,23736.5,3000.0
SKI_CLUSTER_003,Gitschenen Skilift Gitschenen / Klewenalp - Stockhütte / Engelberg Titlis +2,warning,confident,warning,multiple_names,5,Gitschenen Skilift Gitschenen | Klewenalp - Stockhütte | Engelberg Titlis | Brunni Brunni - Bahnen Engelberg | Dallenwil - Wirzweli,62,51.0,True,close_to_named_cluster|very_large_multi_station_domain|many_station_names_on_large_domain,,close_to_named_cluster|very_large_multi_station_domain|many_station_names_on_large_domain,cluster_lift_count_supported_by_bergfex,False,0,0,0,314.5,SKI_CLUSTER_013,3481.5,28496.8,3000.0
SKI_CLUSTER_006,Madrisa Klosters Madrisa / Parsenn Davos Klosters Parsenn / Schatzalp Davos Schatzalp - Strela +2,warning,confident,warning,multiple_names,5,Madrisa Klosters Madrisa | Parsenn Davos Klosters Parsenn | Schatzalp Davos Schatzalp - Strela | Rinerhorn Davos Rinerhorn | Jakobshorn Davos Jakobshorn,48,54.0,True,very_large_multi_station_domain|many_station_names_on_large_domain,,very_large_multi_station_domain|many_station_names_on_large_domain,close_to_unnamed_cluster|cluster_lift_count_supported_by_bergfex,False,0,0,0,170.0,SKI_CLUSTER_062,3063.9,23871.5,3000.0
SKI_CLUSTER_007,Brambrüesch Chur - Brambrüesch / Pradaschier - Churwalden / Arosa Lenzerheide,warning,confident,warning,multiple_names,3,Brambrüesch Chur - Brambrüesch | Pradaschier - Churwalden | Arosa Lenzerheide,47,50.0,True,close_to_named_cluster,,close_to_named_cluster,large_spatial_extent|cluster_lift_count_supported_by_bergfex,False,0,0,0,177.2,SKI_CLUSTER_098,3093.4,19888.3,3000.0
SKI_CLUSTER_008,Villars - Gryon Villars - Gryon - Les Diablerets / Leysin - Les Mosses - La Lécherette / Les Diablerets - Glacier 3000,confident,confident,confident,multiple_names,3,Villars - Gryon Villars - Gryon - Les Diablerets | Leysin - Les Mosses - La Lécherette | Les Diablerets - Glacier 3000,46,76.0,False,,,,large_spatial_extent|cluster_lift_count_supported_by_bergfex,False,0,0,0,389.2,SKI_CLUSTER_039,3820.7,19652.7,3000.0
SKI_CLUSTER_009,Bellwald / Belalp / Aletsch Arena Riederalp - Bettmeralp - Fiesch - Eggishorn,confident,confident,confident,multiple_names,3,Bellwald | Belalp | Aletsch Arena Riederalp - Bettmeralp - Fiesch - Eggishorn,46,52.0,False,,,,large_spatial_extent|cluster_lift_count_supported_by_bergfex,False,0,0,0,47.9,SKI_CLUSTER_058,4464.4,19359.7,3000.0
SKI_CLUSTER_010,Schilthorn Jungfrau Ski Region Mürren - Schilthorn / Wengen Jungfrau Ski Region Grindelwald - Wengen,confident,confident,confident,multiple_names,2,Schilthorn Jungfrau Ski Region Mürren - Schilthorn | Wengen Jungfrau Ski Region Grindelwald - Wengen,43,42.0,False,,,,large_spatial_extent|cluster_lift_count_supported_by_bergfex,False,0,0,0,74.8,SKI_CLUSTER_095,3902.7,23559.5,3000.0
SKI_CLUSTER_012,Unterbäch - Brandalp / Staldenried - Gspon / Visperterminen +3,warning,confident,warning,multiple_names,6,Unterbäch - Brandalp | Staldenried - Gspon | Visperterminen | Moosalpregion | Eischoll Sportbahnen Eischoll | Grächen,38,39.0,True,close_to_named_cluster|many_station_names_on_large_domain,,close_to_named_cluster|many_station_names_on_large_domain,large_spatial_extent|cluster_lift_count_supported_by_bergfex,False,0,0,0,660.9,SKI_CLUSTER_015,3272.5,20250.2,3000.0
SKI_CLUSTER_013,Neusell / Brunni Skilift Brunni / Stoos +6,warning,confident,warning,multiple_names,9,Neusell | Brunni Skilift Brunni | Stoos | Oberiberg | Brunni - Haggenegg | Hoch - Ybrig | Ibergeregg Skilifte Ibergeregg | Hochstuckli Sattel Hochstuckli | Mythenregion,37,59.0,True,very_large_multi_station_domain|many_station_names_on_large_domain,,very_large_multi_station_domain|many_station_names_on_large_domain,close_to_unnamed_cluster|cluster_lift_count_supported_by_bergfex,False,0,0,0,178.7,SKI_CLUSTER_204,3021.8,22648.7,3000.0
