event_id,candidate_resort_id,source_resort_name,cluster_id,municipality_bfs_id,municipality_name,entry_season,diagnostic_anchor,anchor_status,observed_pre_months,observed_post_months_potential,observed_post_months_with_known_exit_bound,post_continuity_status,has_24_months_pre,has_36_months_pre,has_24_months_post_potential,has_36_months_post_potential,treatment_ready
MAGIC_EVENT_75f74c14a850,crans_montana_crans_montana,Crans-Montana,SKI_CLUSTER_020,6253,Crans-Montana,2017/2018,2017-11-01,provisional_for_coverage_count_only,10,101,101,continuity_not_verified,False,False,True,True,False
MAGIC_EVENT_3a560eaae2a2,grimentz_zinal_grimentz_zinal,Grimentz-Zinal,SKI_CLUSTER_028,6252,Anniviers,2017/2018,2017-11-01,provisional_for_coverage_count_only,58,99,99,continuity_not_verified,True,True,True,True,False
MAGIC_EVENT_48cf85b2c432,moleson_la_gruyere,Moléson,SKI_CLUSTER_023,2135,Gruyères,2017/2018,2017-11-01,provisional_for_coverage_count_only,58,99,99,continuity_not_verified,True,True,True,True,False
MAGIC_EVENT_fe4b42317a8c,st_luc_chandolin,St-Luc / Chandolin,SKI_CLUSTER_036,6252,Anniviers,2017/2018,2017-11-01,provisional_for_coverage_count_only,58,99,99,continuity_not_verified,True,True,True,True,False
MAGIC_EVENT_ad542a431b3b,villars_gryon_villars_gryon_les_diablerets,Villars-Gryon,SKI_CLUSTER_008,5409,Ollon,2017/2018,2017-11-01,provisional_for_coverage_count_only,58,99,99,continuity_not_verified,True,True,True,True,False
MAGIC_EVENT_88d598a65c98,arolla,Arolla,SKI_CLUSTER_070,6083,Evolène,2018/2019,2018-05-01,provisional_for_coverage_count_only,64,93,93,continuity_not_verified,True,True,True,True,False
MAGIC_EVENT_4355dae12496,evolene,Evolène,SKI_CLUSTER_106,6083,Evolène,2018/2019,2018-05-01,provisional_for_coverage_count_only,64,93,93,continuity_not_verified,True,True,True,True,False
MAGIC_EVENT_9030394c7d33,la_forclaz,La Forclaz,SKI_CLUSTER_134,6083,Evolène,2018/2019,2018-05-01,provisional_for_coverage_count_only,64,93,93,continuity_not_verified,True,True,True,True,False
MAGIC_EVENT_c93b34a1b0b7,les_pleiades,Les Pléiades,SKI_CLUSTER_023,5892,Blonay - Saint-Légier,2018/2019,2018-05-01,provisional_for_coverage_count_only,0,51,51,continuity_not_verified,False,False,True,True,False
MAGIC_EVENT_32f5ba9b74bf,saas_fee,Saas-Fee,SKI_CLUSTER_015,6290,Saas-Fee,2019/2020,2019-05-01,provisional_for_coverage_count_only,76,83,83,continuity_not_verified,True,True,True,True,False
MAGIC_EVENT_deea30b9cedc,axalp_brienz,Axalp,SKI_CLUSTER_095,573,Brienz (BE),2022/2023,2022-05-01,provisional_for_coverage_count_only,112,47,47,continuity_not_verified,True,True,True,True,False
MAGIC_EVENT_703c57237aae,faltschen_reichenbach_im_kandertal,Faltschen,SKI_CLUSTER_110,567,Reichenbach im Kandertal,2022/2023,2022-05-01,provisional_for_coverage_count_only,110,47,47,continuity_not_verified,True,True,True,True,False
MAGIC_EVENT_aa489c4d1dbf,bumbach_schangnau,Bumbach,SKI_CLUSTER_074,906,Schangnau,2023/2024,2023-05-01,provisional_for_coverage_count_only,122,35,35,continuity_not_verified,True,True,True,False,False
MAGIC_EVENT_2343a1c8d7ef,kiental,Kiental,SKI_CLUSTER_137,567,Reichenbach im Kandertal,2023/2024,2023-05-01,provisional_for_coverage_count_only,122,35,35,continuity_not_verified,True,True,True,False,False
MAGIC_EVENT_5b325b76233f,sainte_croix_les_rasses,Sainte-Croix - Les Rasses,SKI_CLUSTER_050,5552,Bullet,2023/2024,2023-05-01,provisional_for_coverage_count_only,122,35,35,continuity_not_verified,True,True,True,False,False
MAGIC_EVENT_8a005fd903b6,schwanden_sigriswil_thunersee,Schwanden,SKI_CLUSTER_046,938,Sigriswil,2024/2025,2024-05-01,provisional_for_coverage_count_only,136,23,23,continuity_not_verified,True,True,False,False,False
MAGIC_EVENT_12fad7da9a31,gstaad,Bergbahnen Gstaad,SKI_CLUSTER_016,843,Saanen,2025/2026,2025-05-01,provisional_for_coverage_count_only,148,11,11,continuity_not_verified,True,True,False,False,False
MAGIC_EVENT_9e5621c85ebb,meiringen_hasliberg,Meiringen-Hasliberg,SKI_CLUSTER_024,783,Hasliberg,2025/2026,2025-05-01,provisional_for_coverage_count_only,146,11,11,continuity_not_verified,True,True,False,False,False
