resort_id,resort_name_canonical,cluster_id,point_municipality_bfs_id,point_municipality_name,point_municipality_canton,selection_status,bfs_hotel_universe,bfs_hotel_municipality_name,assignment_quality,identity_status,relationship_type,tourism_exposure_interpretation,source_id,usable_for_descriptive_point_merge,usable_as_causal_exposure_without_review
balmberg,Balmberg,SKI_CLUSTER_108,2541,Balm bei Günsberg,SO,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
hohe_winde_beinwil,Hohe Winde Beinwil,SKI_CLUSTER_179,2612,Beinwil (SO),SO,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
bumbach_schangnau,Bumbach - Schangnau,SKI_CLUSTER_074,906,Schangnau,BE,unique_current_polygon,True,Schangnau,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
chuderhusi,Chuderhüsi,SKI_CLUSTER_183,904,Röthenbach im Emmental,BE,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
gantrisch_gurnigel,Gantrisch - Gurnigel,SKI_CLUSTER_051,880,Rüeggisberg,BE,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
gurten_bern,Gurten Bern,SKI_CLUSTER_051,355,Köniz,BE,unique_current_polygon,True,Köniz,review,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
heimenschwand_buchholterberg,Heimenschwand Buchholterberg,SKI_CLUSTER_109,923,Buchholterberg,BE,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
homberg_skilift_dreiligass_winteregg,Homberg Skilift Dreiligass - Winteregg,SKI_CLUSTER_136,931,Homberg,BE,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
linden_skilift_linden,Linden Skilift Linden,SKI_CLUSTER_109,614,Linden,BE,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
ottenleuebad,Ottenleuebad,SKI_CLUSTER_051,852,Guggisberg,BE,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
